Symbol,Increased_25_pct,Start_Date,End_Date,Percentage_Change,In_2020,Start_Month,End_Month
ADANIGREEN,Yes,2018-10-22,2019-04-22,25.17%,No,10,4
ADANIGREEN,Yes,2019-01-04,2019-07-03,28.24%,No,1,7
ADANIGREEN,Yes,2019-02-01,2019-07-31,30.91%,No,2,7
ADANIGREEN,Yes,2019-02-04,2019-08-05,35.30%,No,2,8
ADANIGREEN,Yes,2019-03-01,2019-08-28,28.80%,No,3,8
ADANIGREEN,Yes,2019-03-06,2019-09-03,25.56%,No,3,9
ADANIGREEN,Yes,2019-04-01,2019-09-30,50.52%,No,4,9
ADANIGREEN,Yes,2019-04-04,2019-10-01,52.91%,No,4,10
ADANIGREEN,Yes,2019-05-02,2019-10-29,114.11%,No,5,10
ADANIGREEN,Yes,2019-05-06,2019-11-04,130.47%,No,5,11
ADANIGREEN,Yes,2021-08-02,2022-01-31,114.33%,No,8,1
ADANIGREEN,Yes,2021-08-05,2022-02-01,114.02%,No,8,2
ADANIGREEN,Yes,2021-09-01,2022-02-28,70.72%,No,9,2
ADANIGREEN,Yes,2021-09-02,2022-03-02,73.45%,No,9,3
ADANIGREEN,Yes,2021-10-01,2022-03-30,61.34%,No,10,3
ADANIGREEN,Yes,2021-11-01,2022-05-02,141.43%,No,11,5
ADANIGREEN,Yes,2021-12-01,2022-05-30,61.95%,No,12,5
ADANIGREEN,Yes,2021-12-03,2022-06-01,33.01%,No,12,6
ADANIGREEN,Yes,2023-11-01,2024-04-29,105.27%,No,11,4
ADANIPORTS,Yes,2016-02-11,2016-08-09,28.89%,No,2,8
ADANIPORTS,Yes,2016-03-01,2016-08-29,27.50%,No,3,8
ADANIPORTS,Yes,2016-04-28,2016-10-25,32.85%,No,4,10
ADANIPORTS,Yes,2016-05-02,2016-11-01,30.99%,No,5,11
ADANIPORTS,Yes,2016-06-01,2016-11-28,34.82%,No,6,11
ADANIPORTS,Yes,2016-06-06,2016-12-05,31.91%,No,6,12
ADANIPORTS,Yes,2016-07-01,2016-12-28,31.42%,No,7,12
ADANIPORTS,Yes,2016-07-04,2017-01-02,28.39%,No,7,1
ADANIPORTS,Yes,2016-08-01,2017-01-30,32.40%,No,8,1
ADANIPORTS,Yes,2016-08-05,2017-02-01,30.17%,No,8,2
ADANIPORTS,Yes,2016-09-30,2017-03-29,25.02%,No,9,3
ADANIPORTS,Yes,2016-10-03,2017-04-03,29.34%,No,10,4
ADANIPORTS,Yes,2016-11-11,2017-05-10,27.15%,No,11,5
ADANIPORTS,Yes,2016-12-02,2017-05-31,27.49%,No,12,5
ADANIPORTS,Yes,2016-12-05,2017-06-05,34.37%,No,12,6
ADANIPORTS,Yes,2017-01-02,2017-07-03,34.40%,No,1,7
ADANIPORTS,Yes,2017-02-01,2017-07-31,30.40%,No,2,7
ADANIPORTS,Yes,2017-03-06,2017-09-04,27.37%,No,3,9
ADANIPORTS,Yes,2017-05-02,2017-10-30,30.43%,No,5,10
ADANIPORTS,Yes,2021-01-01,2021-06-30,40.64%,No,1,6
ADANIPORTS,Yes,2023-09-01,2024-02-28,62.54%,No,9,2
ADANIPORTS,Yes,2023-11-01,2024-04-29,71.27%,No,11,4
ADANIPOWER,Yes,2016-07-18,2017-01-16,27.96%,No,7,1
ADANIPOWER,Yes,2016-08-01,2017-01-30,31.09%,No,8,1
ADANIPOWER,Yes,2016-08-05,2017-02-01,35.79%,No,8,2
ADANIPOWER,Yes,2016-09-01,2017-02-28,43.49%,No,9,2
ADANIPOWER,Yes,2016-09-02,2017-03-01,41.91%,No,9,3
ADANIPOWER,Yes,2016-10-03,2017-04-03,58.67%,No,10,4
ADANIPOWER,Yes,2016-11-09,2017-05-08,25.81%,No,11,5
ADANIPOWER,Yes,2017-05-24,2017-11-20,25.18%,No,5,11
ADANIPOWER,Yes,2017-06-01,2017-11-28,35.81%,No,6,11
ADANIPOWER,Yes,2017-06-05,2017-12-04,25.93%,No,6,12
ADANIPOWER,Yes,2018-03-09,2018-09-05,25.15%,No,3,9
ADANIPOWER,Yes,2018-04-16,2018-10-15,35.08%,No,4,10
ADANIPOWER,Yes,2018-05-02,2018-10-29,67.86%,No,5,10
ADANIPOWER,Yes,2018-07-02,2018-12-31,229.77%,No,7,12
ADANIPOWER,Yes,2019-01-03,2019-07-02,28.60%,No,1,7
ADANIPOWER,Yes,2019-02-01,2019-07-31,38.01%,No,2,7
ADANIPOWER,Yes,2019-02-04,2019-08-05,46.67%,No,2,8
ADANIPOWER,Yes,2019-04-01,2019-09-30,32.03%,No,4,9
ADANIPOWER,Yes,2021-01-01,2021-06-30,126.22%,No,1,6
ADANIPOWER,Yes,2021-03-01,2021-08-30,68.34%,No,3,8
ADANIPOWER,Yes,2021-10-01,2022-03-30,76.90%,No,10,3
ADANIPOWER,Yes,2021-12-01,2022-05-30,236.05%,No,12,5
ADANIPOWER,Yes,2021-12-03,2022-06-01,204.66%,No,12,6
ADANIPOWER,Yes,2022-01-31,2022-08-01,202.92%,No,1,8
ADANIPOWER,Yes,2023-11-01,2024-04-29,63.23%,No,11,4
ALKEM,Yes,2016-02-11,2016-08-09,25.40%,No,2,8
ALKEM,Yes,2016-03-21,2016-09-19,28.10%,No,3,9
ALKEM,Yes,2016-04-01,2016-09-28,38.97%,No,4,9
ALKEM,Yes,2016-04-05,2016-10-03,25.88%,No,4,10
ALKEM,Yes,2016-05-02,2016-11-01,33.11%,No,5,11
ALKEM,Yes,2016-06-01,2016-11-28,31.84%,No,6,11
ALKEM,Yes,2016-06-06,2016-12-05,25.20%,No,6,12
ALKEM,Yes,2016-08-19,2017-02-15,28.98%,No,8,2
ALKEM,Yes,2016-09-01,2017-02-28,36.91%,No,9,2
ALKEM,Yes,2016-09-02,2017-03-01,31.49%,No,9,3
ALKEM,Yes,2016-10-03,2017-04-03,29.35%,No,10,4
ALKEM,Yes,2016-11-04,2017-05-03,26.64%,No,11,5
ALKEM,Yes,2017-07-14,2018-01-10,30.82%,No,7,1
ALKEM,Yes,2017-08-01,2018-01-29,25.61%,No,8,1
ALKEM,Yes,2021-03-01,2021-08-30,38.20%,No,3,8
ALKEM,Yes,2023-01-23,2023-07-24,25.66%,No,1,7
ALKEM,Yes,2023-02-01,2023-07-31,32.90%,No,2,7
ALKEM,Yes,2023-11-01,2024-04-29,32.05%,No,11,4
AMBUJACEM,Yes,2015-12-11,2016-06-08,26.81%,No,12,6
AMBUJACEM,Yes,2016-01-01,2016-06-29,25.21%,No,1,6
AMBUJACEM,Yes,2016-01-04,2016-07-04,26.00%,No,1,7
AMBUJACEM,Yes,2016-02-01,2016-08-01,36.37%,No,2,8
AMBUJACEM,Yes,2016-03-01,2016-08-29,39.58%,No,3,8
AMBUJACEM,Yes,2016-03-08,2016-09-06,38.38%,No,3,9
AMBUJACEM,Yes,2016-11-16,2017-05-15,28.30%,No,11,5
AMBUJACEM,Yes,2021-04-01,2021-09-28,32.83%,No,4,9
AMBUJACEM,Yes,2021-04-05,2021-10-04,32.82%,No,4,10
AMBUJACEM,Yes,2021-05-03,2021-11-01,31.49%,No,5,11
AMBUJACEM,Yes,2022-05-02,2022-10-31,40.94%,No,5,10
AMBUJACEM,Yes,2022-06-01,2022-11-28,52.95%,No,6,11
AMBUJACEM,Yes,2022-06-06,2022-12-05,57.13%,No,6,12
AMBUJACEM,Yes,2022-07-01,2022-12-28,41.04%,No,7,12
AMBUJACEM,Yes,2022-07-04,2023-01-02,42.86%,No,7,1
AMBUJACEM,Yes,2023-02-01,2023-07-31,39.39%,No,2,7
AMBUJACEM,Yes,2023-08-14,2024-02-12,27.79%,No,8,2
AMBUJACEM,Yes,2023-09-01,2024-02-28,35.80%,No,9,2
AMBUJACEM,Yes,2023-09-04,2024-03-04,39.90%,No,9,3
AMBUJACEM,Yes,2023-10-03,2024-04-01,43.80%,No,10,4
AMBUJACEM,Yes,2023-11-01,2024-04-29,54.84%,No,11,4
AMBUJACEM,Yes,2023-12-01,2024-05-29,42.56%,No,12,5
APLAPOLLO,Yes,2015-11-30,2016-05-30,52.82%,No,11,5
APLAPOLLO,Yes,2015-12-01,2016-05-30,49.08%,No,12,5
APLAPOLLO,Yes,2015-12-04,2016-06-01,47.14%,No,12,6
APLAPOLLO,Yes,2016-01-01,2016-06-29,26.36%,No,1,6
APLAPOLLO,Yes,2016-01-04,2016-07-04,26.05%,No,1,7
APLAPOLLO,Yes,2016-02-01,2016-08-01,37.46%,No,2,8
APLAPOLLO,Yes,2016-03-01,2016-08-29,61.69%,No,3,8
APLAPOLLO,Yes,2016-03-08,2016-09-06,40.61%,No,3,9
APLAPOLLO,Yes,2016-04-01,2016-09-28,31.23%,No,4,9
APLAPOLLO,Yes,2016-04-04,2016-10-03,27.14%,No,4,10
APLAPOLLO,Yes,2016-09-21,2017-03-20,26.43%,No,9,3
APLAPOLLO,Yes,2016-10-03,2017-04-03,39.42%,No,10,4
APLAPOLLO,Yes,2017-02-01,2017-07-31,48.33%,No,2,7
APLAPOLLO,Yes,2017-05-02,2017-10-30,26.16%,No,5,10
APLAPOLLO,Yes,2017-05-05,2017-11-01,25.35%,No,5,11
APLAPOLLO,Yes,2017-06-01,2017-11-28,29.09%,No,6,11
APLAPOLLO,Yes,2017-06-05,2017-12-04,28.29%,No,6,12
APLAPOLLO,Yes,2017-07-07,2018-01-03,32.98%,No,7,1
APLAPOLLO,Yes,2017-08-01,2018-01-29,52.88%,No,8,1
APLAPOLLO,Yes,2017-08-07,2018-02-05,31.87%,No,8,2
APLAPOLLO,Yes,2017-09-01,2018-02-28,30.37%,No,9,2
APLAPOLLO,Yes,2018-11-01,2019-04-30,31.31%,No,11,4
APLAPOLLO,Yes,2018-12-31,2019-07-01,33.84%,No,12,7
APLAPOLLO,Yes,2022-07-01,2022-12-28,25.28%,No,7,12
APOLLOHOSP,Yes,2018-05-21,2018-11-19,25.12%,No,5,11
APOLLOHOSP,Yes,2018-06-01,2018-11-28,33.43%,No,6,11
APOLLOHOSP,Yes,2018-06-04,2018-12-03,37.92%,No,6,12
APOLLOHOSP,Yes,2018-07-09,2019-01-07,28.78%,No,7,1
APOLLOHOSP,Yes,2018-08-01,2019-01-28,33.44%,No,8,1
APOLLOHOSP,Yes,2018-08-06,2019-02-04,32.74%,No,8,2
APOLLOHOSP,Yes,2019-02-18,2019-08-19,32.87%,No,2,8
APOLLOHOSP,Yes,2019-03-01,2019-08-28,32.08%,No,3,8
APOLLOHOSP,Yes,2019-03-05,2019-09-03,25.30%,No,3,9
APOLLOHOSP,Yes,2019-04-30,2019-10-27,26.25%,No,4,10
APOLLOHOSP,Yes,2021-01-01,2021-06-30,49.90%,No,1,6
APOLLOHOSP,Yes,2021-01-04,2021-07-05,54.33%,No,1,7
APOLLOHOSP,Yes,2021-04-01,2021-09-28,52.51%,No,4,9
APOLLOHOSP,Yes,2021-07-01,2021-12-28,31.77%,No,7,12
APOLLOHOSP,Yes,2023-09-01,2024-02-28,31.56%,No,9,2
APOLLOHOSP,Yes,2023-09-04,2024-03-04,25.16%,No,9,3
APOLLOHOSP,Yes,2023-10-03,2024-04-01,26.26%,No,10,4
ASHOKLEY,Yes,2016-12-02,2017-05-31,26.51%,No,12,5
ASHOKLEY,Yes,2017-01-12,2017-07-11,26.55%,No,1,7
ASHOKLEY,Yes,2017-03-06,2017-09-04,27.13%,No,3,9
ASHOKLEY,Yes,2017-04-03,2017-10-03,47.79%,No,4,10
ASHOKLEY,Yes,2017-05-02,2017-10-30,56.17%,No,5,10
ASHOKLEY,Yes,2017-05-05,2017-11-01,54.27%,No,5,11
ASHOKLEY,Yes,2017-06-01,2017-11-28,35.27%,No,6,11
ASHOKLEY,Yes,2017-06-05,2017-12-04,26.99%,No,6,12
ASHOKLEY,Yes,2017-08-11,2018-02-07,29.47%,No,8,2
ASHOKLEY,Yes,2017-09-01,2018-02-28,25.39%,No,9,2
ASHOKLEY,Yes,2017-09-11,2018-03-12,25.13%,No,9,3
ASHOKLEY,Yes,2017-10-27,2018-04-25,28.48%,No,10,4
ASHOKLEY,Yes,2017-11-01,2018-04-30,30.05%,No,11,4
ASHOKLEY,Yes,2017-11-02,2018-05-02,29.57%,No,11,5
ASHOKLEY,Yes,2017-12-04,2018-06-04,26.26%,No,12,6
ASHOKLEY,Yes,2022-02-24,2022-08-23,29.94%,No,2,8
ASHOKLEY,Yes,2022-03-02,2022-08-29,26.54%,No,3,8
ASHOKLEY,Yes,2022-04-01,2022-09-28,26.61%,No,4,9
ASHOKLEY,Yes,2023-02-01,2023-07-31,26.57%,No,2,7
ASIANPAINT,Yes,2016-01-27,2016-07-25,25.37%,No,1,7
ASIANPAINT,Yes,2016-02-01,2016-08-01,26.99%,No,2,8
ASIANPAINT,Yes,2016-03-01,2016-08-29,28.19%,No,3,8
ASIANPAINT,Yes,2016-03-08,2016-09-06,38.24%,No,3,9
ASIANPAINT,Yes,2016-04-01,2016-09-28,37.92%,No,4,9
ASIANPAINT,Yes,2016-04-04,2016-10-03,35.35%,No,4,10
ASIANPAINT,Yes,2016-05-02,2016-11-01,25.48%,No,5,11
ASIANPAINT,Yes,2016-11-15,2017-05-15,28.88%,No,11,5
ASIANPAINT,Yes,2016-12-02,2017-05-31,27.23%,No,12,5
ASIANPAINT,Yes,2016-12-12,2017-06-12,26.42%,No,12,6
ASIANPAINT,Yes,2018-02-01,2018-07-31,26.48%,No,2,7
ASIANPAINT,Yes,2018-10-23,2019-04-22,27.09%,No,10,4
ASIANPAINT,Yes,2019-05-02,2019-10-29,26.97%,No,5,10
ASIANPAINT,Yes,2019-06-18,2019-12-16,25.69%,No,6,12
ASIANPAINT,Yes,2019-07-01,2019-12-30,33.37%,No,7,12
ASTRAL,Yes,2016-01-21,2016-07-19,27.51%,No,1,7
ASTRAL,Yes,2016-02-11,2016-08-09,25.75%,No,2,8
ASTRAL,Yes,2016-03-01,2016-08-29,36.06%,No,3,8
ASTRAL,Yes,2016-03-08,2016-09-06,29.98%,No,3,9
ASTRAL,Yes,2016-09-19,2017-03-20,27.37%,No,9,3
ASTRAL,Yes,2016-10-03,2017-04-03,29.15%,No,10,4
ASTRAL,Yes,2016-11-02,2017-05-02,27.24%,No,11,5
ASTRAL,Yes,2016-12-01,2017-05-30,43.92%,No,12,5
ASTRAL,Yes,2016-12-05,2017-06-05,51.37%,No,12,6
ASTRAL,Yes,2017-02-01,2017-07-31,51.06%,No,2,7
ASTRAL,Yes,2017-04-03,2017-10-03,28.84%,No,4,10
ASTRAL,Yes,2017-05-02,2017-10-30,34.41%,No,5,10
ASTRAL,Yes,2017-05-05,2017-11-01,36.87%,No,5,11
ASTRAL,Yes,2017-06-01,2017-11-28,31.06%,No,6,11
ASTRAL,Yes,2017-06-05,2017-12-04,38.95%,No,6,12
ASTRAL,Yes,2017-07-13,2018-01-09,25.60%,No,7,1
ASTRAL,Yes,2017-08-01,2018-01-29,28.83%,No,8,1
ASTRAL,Yes,2017-08-31,2018-02-27,27.27%,No,8,2
ASTRAL,Yes,2017-09-01,2018-02-28,30.32%,No,9,2
ASTRAL,Yes,2017-11-01,2018-04-30,26.99%,No,11,4
ASTRAL,Yes,2021-01-01,2021-06-30,51.90%,No,1,6
ATGL,Yes,2018-11-05,2019-05-06,71.63%,No,11,5
ATGL,Yes,2018-12-03,2019-06-03,83.23%,No,12,6
ATGL,Yes,2018-12-31,2019-07-01,70.63%,No,12,7
ATGL,Yes,2019-01-01,2019-07-01,68.88%,No,1,7
ATGL,Yes,2019-02-01,2019-07-31,65.81%,No,2,7
ATGL,Yes,2019-02-04,2019-08-05,56.08%,No,2,8
ATGL,Yes,2019-03-01,2019-08-28,38.99%,No,3,8
ATGL,Yes,2019-03-05,2019-09-03,26.00%,No,3,9
ATGL,Yes,2019-05-14,2019-11-11,25.67%,No,5,11
ATGL,Yes,2021-01-01,2021-06-30,170.71%,No,1,6
ATGL,Yes,2021-04-01,2021-09-28,32.92%,No,4,9
ATGL,Yes,2021-04-07,2021-10-04,27.77%,No,4,10
ATGL,Yes,2021-06-16,2021-12-13,29.83%,No,6,12
ATGL,Yes,2021-07-01,2021-12-28,81.86%,No,7,12
ATGL,Yes,2021-07-05,2022-01-03,99.41%,No,7,1
ATGL,Yes,2021-08-02,2022-01-31,105.01%,No,8,1
ATGL,Yes,2021-08-05,2022-02-01,105.66%,No,8,2
ATGL,Yes,2021-09-07,2022-03-07,28.53%,No,9,3
ATGL,Yes,2021-10-01,2022-03-30,49.24%,No,10,3
ATGL,Yes,2021-10-04,2022-04-04,68.09%,No,10,4
ATGL,Yes,2021-12-01,2022-05-30,59.25%,No,12,5
ATGL,Yes,2022-01-31,2022-08-01,76.69%,No,1,8
ATGL,Yes,2022-05-02,2022-10-31,44.81%,No,5,10
ATGL,Yes,2022-06-01,2022-11-28,55.01%,No,6,11
ATGL,Yes,2023-09-01,2024-02-28,60.75%,No,9,2
ATGL,Yes,2023-11-01,2024-04-29,66.55%,No,11,4
AUBANK,Yes,2017-07-11,2018-01-08,25.52%,No,7,1
AUBANK,Yes,2018-03-06,2018-09-03,25.21%,No,3,9
AUBANK,Yes,2019-05-16,2019-11-13,26.27%,No,5,11
AUBANK,Yes,2021-01-07,2021-07-06,25.48%,No,1,7
AUBANK,Yes,2021-02-01,2021-08-02,29.97%,No,2,8
AUBANK,Yes,2021-04-30,2021-10-27,26.23%,No,4,10
AUBANK,Yes,2021-12-28,2022-06-27,26.62%,No,12,6
AUBANK,Yes,2022-11-29,2023-05-29,25.99%,No,11,5
AUBANK,Yes,2024-04-01,2024-09-30,25.79%,No,4,9
AUBANK,Yes,2025-01-01,2025-06-30,43.79%,No,1,6
AUBANK,Yes,2025-05-02,2025-10-29,29.85%,No,5,10
AUROPHARMA,Yes,2016-02-25,2016-08-23,25.20%,No,2,8
AUROPHARMA,Yes,2017-05-02,2017-10-30,28.81%,No,5,10
AUROPHARMA,Yes,2017-05-05,2017-11-01,29.52%,No,5,11
AUROPHARMA,Yes,2018-03-12,2018-09-10,36.56%,No,3,9
AUROPHARMA,Yes,2018-04-02,2018-10-01,29.89%,No,4,10
AUROPHARMA,Yes,2018-06-01,2018-11-28,47.81%,No,6,11
AUROPHARMA,Yes,2018-06-04,2018-12-03,51.14%,No,6,12
AUROPHARMA,Yes,2018-07-13,2019-01-09,25.96%,No,7,1
AUROPHARMA,Yes,2018-08-01,2019-01-28,26.19%,No,8,1
AUROPHARMA,Yes,2018-08-08,2019-02-04,25.26%,No,8,2
AUROPHARMA,Yes,2022-11-10,2023-05-09,29.35%,No,11,5
AUROPHARMA,Yes,2022-12-01,2023-05-30,39.66%,No,12,5
AUROPHARMA,Yes,2022-12-05,2023-06-05,42.33%,No,12,6
AUROPHARMA,Yes,2023-01-02,2023-07-03,64.88%,No,1,7
AUROPHARMA,Yes,2023-02-01,2023-07-31,100.49%,No,2,7
AUROPHARMA,Yes,2023-03-01,2023-08-28,78.79%,No,3,8
AUROPHARMA,Yes,2023-09-01,2024-02-28,25.14%,No,9,2
AUROPHARMA,Yes,2023-09-04,2024-03-04,33.69%,No,9,3
AUROPHARMA,Yes,2023-10-04,2024-04-01,26.75%,No,10,4
AUROPHARMA,Yes,2023-11-01,2024-04-29,34.65%,No,11,4
