Company Name,Symbol,Market Cap,Earnings_2025,Earnings_2024,Earnings_2023,Earnings_2022,Earnings_2021,Earnings_2020
Bharti Airtel Ltd.,BHARTIARTL,12803449552896,335561000000.0,74670000000.0,83459000000.0,42549000000.0,,
Bharti Hexacom Ltd.,BHARTIHEXA,871799980032,14936000000.0,5044000000.0,5492000000.0,16746000000.0,,
Biocon Ltd.,BIOCON,513870725120,10133000000.0,10225000000.0,4627000000.0,6484000000.0,,
Blue Star Ltd.,BLUESTARCO,373268807680,5912400000.0,4149500000.0,4004600000.0,1677100000.0,,
Bosch Ltd.,BOSCHLTD,1069551845376,20152000000.0,24913000000.0,14255000000.0,12183000000.0,,
Britannia Industries Ltd.,BRITANNIA,1461509554176,21787300000.0,21398100000.0,23217700000.0,15248200000.0,,
CG Power and Industrial Solutions Ltd.,CGPOWER,1060435001344,9746000000.0,14270100000.0,9626700000.0,9125400000.0,,
Canara Bank,CANBK,1334927687680,175396241000.0,152785644000.0,112547457000.0,61248216000.0,,
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,1447546322944,42627200000.0,34200600000.0,26648500000.0,21535100000.0,,
Cipla Ltd.,CIPLA,1211333607424,52725200000.0,41215500000.0,28019100000.0,25167500000.0,,
Coal India Ltd.,COALINDIA,2351697231872,353581600000.0,374022900000.0,317632300000.0,173581000000.0,,
Cochin Shipyard Ltd.,COCHINSHIP,410511278080,8273305000.0,7832778000.0,3047091000.0,5639614000.0,,
Coforge Ltd.,COFORGE,625456054272,8121000000.0,8080000000.0,6938000000.0,6617000000.0,,
Colgate Palmolive (India) Ltd.,COLPAL,587915001856,14368100000.0,13236600000.0,10471465000.0,10783187000.0,,
Container Corporation of India Ltd.,CONCOR,380613722112,12887500000.0,12469500000.0,11739500000.0,10563700000.0,,
Coromandel International Ltd.,COROMANDEL,683554308096,20664600000.0,16421900000.0,20129300000.0,15284600000.0,,
Cummins India Ltd.,CUMMINSIND,1245899259904,19999400000.0,17205800000.0,12281500000.0,9337400000.0,,
DLF Ltd.,DLF,1713272520704,43676215000.0,27271051000.0,20358252000.0,15008546000.0,,
Dabur India Ltd.,DABUR,881878761472,17676300000.0,18426800000.0,17071500000.0,17392200000.0,,
Divi's Laboratories Ltd.,DIVISLAB,1681876189184,21910000000.0,16000000000.0,18240000000.0,29604500000.0,,
Dixon Technologies (India) Ltd.,DIXON,824680185856,10955400000.0,3677500000.0,2555200000.0,1901700000.0,,
Dr. Reddy's Laboratories Ltd.,DRREDDY,1063092289536,56544000000.0,55684000000.0,45067000000.0,23568000000.0,,
Eicher Motors Ltd.,EICHERMOT,1936964059136,47344400000.0,40010100000.0,29139400000.0,16766000000.0,,
Eternal Ltd.,ETERNAL,2588172615680,5270000000.0,3510000000.0,-9710000000.0,-12087000000.0,,
Exide Industries Ltd.,EXIDEIND,311352328192,7950200000.0,8766800000.0,8227000000.0,43669300000.0,,
FSN E-Commerce Ventures Ltd.,NYKAA,707658514432,660800000.0,322600000.0,192620000.0,410750000.0,,
Federal Bank Ltd.,FEDERALBNK,644683333632,41588458000.0,38804276000.0,31647191000.0,19697900000.0,,
Fortis Healthcare Ltd.,FORTIS,660838744064,7742152000.0,5988755000.0,5887308000.0,5551185000.0,,
GAIL (India) Ltd.,GAIL,1106717442048,124498000000.0,98992200000.0,56160000000.0,122560700000.0,,
GMR Airports Ltd.,GMRAIRPORT,1093441159168,-3928500000.0,-5592700000.0,-1792600000.0,-10232900000.0,,
Glenmark Pharmaceuticals Ltd.,GLENMARK,554947903488,10470970000.0,-15016680000.0,2972450000.0,9417110000.0,,
Godfrey Phillips India Ltd.,GODFRYPHLP,446903353344,10720328000.0,8830429000.0,6904669000.0,4380692000.0,,
Godrej Consumer Products Ltd.,GODREJCP,1209884475392,18523000000.0,-5605500000.0,17024600000.0,17833900000.0,,
Godrej Properties Ltd.,GODREJPROP,609521106944,13998900000.0,7252700000.0,5713900000.0,3523700000.0,,
Grasim Industries Ltd.,GRASIM,1899621908480,37056800000.0,56244900000.0,68272600000.0,75497800000.0,,
HCL Technologies Ltd.,HCLTECH,4474960084992,173900000000.0,157020000000.0,148510000000.0,134990000000.0,,
HDFC Asset Management Company Ltd.,HDFCAMC,1107157581824,24601900000.0,19426900000.0,14233700000.0,13931300000.0,,
HDFC Bank Ltd.,HDFCBANK,15294791680000,673508300000.0,622656600000.0,495446900000.0,386000400000.0,,
HDFC Life Insurance Company Ltd.,HDFCLIFE,1649330225152,18108200000.0,15740800000.0,13682771000.0,13269331000.0,,
Havells India Ltd.,HAVELLS,885742698496,14722600000.0,12707600000.0,10717300000.0,11964700000.0,,
Hero MotoCorp Ltd.,HEROMOTOCO,1189785370624,43784800000.0,37448300000.0,28099600000.0,23168800000.0,,
Hindalco Industries Ltd.,HINDALCO,1871137079296,160010000000.0,101550000000.0,100970000000.0,137300000000.0,,
Hindustan Aeronautics Ltd.,HAL,2849917632512,83641300000.0,76210500000.0,58277400000.0,50800400000.0,,
Hindustan Petroleum Corporation Ltd.,HINDPETRO,990182178816,67357000000.0,160146100000.0,-69802300000.0,72942300000.0,,
Hindustan Unilever Ltd.,HINDUNILVR,5359758999552,106490000000.0,102770000000.0,101200000000.0,88790000000.0,,
Hindustan Zinc Ltd.,HINDZINC,2398713544704,103530000000.0,77590000000.0,105110000000.0,96290000000.0,,
Hitachi Energy India Ltd.,POWERINDIA,861138059264,3839800000.0,1637800000.0,939000000.0,,2034000000.0,
Housing & Urban Development Corporation Ltd.,HUDCO,422440960000,27091400000.0,21166900000.0,17014300000.0,17164100000.0,,
Hyundai Motor India Ltd.,HYUNDAI,1843411943424,56402140000.0,60600440000.0,47092500000.0,29015910000.0,,
ICICI Bank Ltd.,ICICIBANK,9767031406592,510291955000.0,442563735000.0,340366408000.0,251100960000.0,,
ICICI Lombard General Insurance Company Ltd.,ICICIGI,971409522688,25082900000.0,19185900000.0,17290519000.0,12710088000.0,,
IDFC First Bank Ltd.,IDFCFIRSTB,717329727488,14903500000.0,29423500000.0,24849294000.0,1323070000.0,,
IRB Infrastructure Developers Ltd.,IRB,250256506880,64806840000.0,6058160000.0,7200110000.0,3613970000.0,,
ITC Hotels Ltd.,ITCHOTELS,396904071168,6345700000.0,,,,,
ITC Ltd.,ITC,5032805138432,347466300000.0,204587800000.0,191916600000.0,152426600000.0,,
Indian Bank,INDIANB,1041960140800,112614700000.0,84194100000.0,55723100000.0,41418100000.0,,
Indian Hotels Co. Ltd.,INDHOTEL,1032487501824,19075900000.0,12590700000.0,10025900000.0,-2477200000.0,,
Indian Oil Corporation Ltd.,IOC,2368696745984,135978400000.0,417296900000.0,97921200000.0,251022300000.0,,
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,536839979008,13149023000.0,11110773000.0,10058811000.0,6595529000.0,,
Indian Railway Finance Corporation Ltd.,IRFC,1463803445248,65020000000.0,64121100000.0,61671560000.0,60898360000.0,,
Indian Renewable Energy Development Agency Ltd.,IREDA,376198201344,16983400000.0,12522400000.0,8646283000.0,6335280000.0,,
Indraprastha Gas Ltd.,IGL,256923746304,17177600000.0,19850700000.0,16396500000.0,15022700000.0,,
Indus Towers Ltd.,INDUSTOWER,1076346683392,99317000000.0,60362000000.0,20400000000.0,63731000000.0,,
IndusInd Bank Ltd.,INDUSINDBK,658358140928,25755400000.0,89773000000.0,74434978000.0,48050380000.0,,
Info Edge (India) Ltd.,NAUKRI,872023654400,9621400000.0,5752080000.0,-1074100000.0,127595710000.0,,
Infosys Ltd.,INFY,6444129714176,3158000000.0,3167000000.0,2981000000.0,2963000000.0,,
InterGlobe Aviation Ltd.,INDIGO,1922901606400,72584000000.0,81725000000.0,-3057890000.0,-61618450000.0,,
JSW Energy Ltd.,JSWENERGY,835701571584,19508900000.0,17227100000.0,14777600000.0,17286200000.0,,
JSW Steel Ltd.,JSWSTEEL,2644301578240,35040000000.0,88120000000.0,41440000000.0,206650000000.0,,
Jindal Steel Ltd.,JINDALSTEL,1028884004864,28121300000.0,59384200000.0,39740900000.0,67657300000.0,,
Jio Financial Services Ltd.,JIOFIN,1875765100544,16125900000.0,16045500000.0,312500000.0,16804000.0,,
Jubilant Foodworks Ltd.,JUBLFOOD,368329883648,2107640000.0,3993440000.0,3532010000.0,4203920000.0,,
KEI Industries Ltd.,KEI,397501235200,6964140000.0,5807440000.0,4773460000.0,3760210000.0,,
KPIT Technologies Ltd.,KPITTECH,320025034752,8396000000.0,5945330000.0,3809980000.0,2742330000.0,,
Kalyan Jewellers India Ltd.,KALYANKJIL,494748696576,7148000000.0,5973460000.0,4331050000.0,2242090000.0,,
Kotak Mahindra Bank Ltd.,KOTAKBANK,4340254507008,221259890000.0,182132075000.0,149250096000.0,120893915000.0,,
L&T Finance Ltd.,LTF,752790339584,26436600000.0,23201000000.0,16232500000.0,10701100000.0,,
LIC Housing Finance Ltd.,LICHSGFIN,289223114752,54422300000.0,47629700000.0,28907700000.0,22856500000.0,,
LTIMindtree Ltd.,LTIM,1842106073088,45987000000.0,45821000000.0,44083000000.0,39483000000.0,,
Larsen & Toubro Ltd.,LT,5590086057984,150371100000.0,130591100000.0,104707200000.0,86693300000.0,,
Life Insurance Corporation of India,LICI,5404710404096,483203300000.0,409158500000.0,359966500000.0,41247082000.0,,
Lodha Developers Ltd.,LODHA,1074342658048,27643000000.0,15491000000.0,4867000000.0,12024000000.0,,
Lupin Ltd.,LUPIN,954983645184,32816200000.0,19144800000.0,4300800000.0,-15280400000.0,,
MRF Ltd.,MRF,647646019584,18692900000.0,20812300000.0,7689400000.0,6692400000.0,,
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,474616365056,22618700000.0,19326900000.0,20724000000.0,11368700000.0,,
Mahindra & Mahindra Ltd.,M&M,4345367887872,129291000000.0,112686400000.0,102815000000.0,65773200000.0,,
Mankind Pharma Ltd.,MANKIND,869367480320,19909600000.0,19129000000.0,12818591000.0,14334750000.0,,
Marico Ltd.,MARICO,956531343360,16290000000.0,14810000000.0,13020000000.0,12250000000.0,,
Maruti Suzuki India Ltd.,MARUTI,5141739601920,145002000000.0,134882000000.0,82637000000.0,38795000000.0,,
Max Financial Services Ltd.,MFSL,576203653120,3272281000.0,3401071000.0,3784860000.0,2533700000.0,,
Max Healthcare Institute Ltd.,MAXHEALTH,1043973734400,10758800000.0,10576400000.0,11035100000.0,6050500000.0,,
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,971884199936,24135100000.0,19369700000.0,11190300000.0,6108400000.0,,
Motilal Oswal Financial Services Ltd.,MOTILALOFS,500841611264,25016400000.0,24410600000.0,9316900000.0,13097800000.0,,
MphasiS Ltd.,MPHASIS,544977027072,17021390000.0,15548200000.0,16379220000.0,14308890000.0,,
Muthoot Finance Ltd.,MUTHOOTFIN,1545185001472,53329000000.0,43242880000.0,36122980000.0,40166210000.0,,
NHPC Ltd.,NHPC,763523104768,30066700000.0,35959500000.0,39033100000.0,35235700000.0,,
NMDC Ltd.,NMDC,678644088832,65419800000.0,55750600000.0,56014600000.0,94287100000.0,,
NTPC Green Energy Ltd.,NTPCGREEN,760644763648,4754800000.0,3428500000.0,1712190000.0,,,
NTPC Ltd.,NTPC,3112629960704,234224600000.0,208118900000.0,169125500000.0,166759000000.0,,
National Aluminium Co. Ltd.,NATIONALUM,508661727232,52679400000.0,19884600000.0,14346600000.0,29514100000.0,,
Nestle India Ltd.,NESTLEIND,2392266637312,32075900000.0,,,23905200000.0,21184100000.0,20824300000.0
Oberoi Realty Ltd.,OBEROIRLTY,591825928192,22255137000.0,19266037000.0,19045471000.0,10470983000.0,,
Oil & Natural Gas Corporation Ltd.,ONGC,2921876684800,362256230000.0,491439260000.0,367093340000.0,455221060000.0,,
Oil India Ltd.,OIL,653408337920,65509300000.0,63351000000.0,87285900000.0,56216300000.0,,
One 97 Communications Ltd.,PAYTM,820837941248,-6587000000.0,-14170000000.0,-17759000000.0,-23929000000.0,,
Oracle Financial Services Software Ltd.,OFSS,681306423296,23796000000.0,22194000000.0,18061410000.0,18888260000.0,,
PB Fintech Ltd.,POLICYBZR,839954006016,3530100000.0,669800000.0,-4872200000.0,-8329130000.0,,
PI Industries Ltd.,PIIND,494446346240,16602000000.0,16815000000.0,12295000000.0,8438000000.0,,
Page Industries Ltd.,PAGEIND,405519826944,7291420000.0,5691930000.0,5712490000.0,5365310000.0,,
Patanjali Foods Ltd.,PATANJALI,586612604928,13007064000.0,7651509000.0,8864411000.0,8063089000.0,,
Persistent Systems Ltd.,PERSISTENT,975149006848,14001610000.0,10934910000.0,9210930000.0,6903860000.0,,
Phoenix Mills Ltd.,PHOENIXLTD,636882583552,9842257000.0,10992088000.0,13349608000.0,2373546000.0,,
Pidilite Industries Ltd.,PIDILITIND,1499194589184,20762400000.0,17293800000.0,12732500000.0,12075600000.0,,
Polycab India Ltd.,POLYCAB,1108171554816,20199900000.0,17840450000.0,12707830000.0,9085820000.0,,
Power Finance Corporation Ltd.,PFC,1109599584256,229908100000.0,197611600000.0,158893300000.0,140147900000.0,,
Power Grid Corporation of India Ltd.,POWERGRID,2421412331520,155214400000.0,155731600000.0,154197400000.0,168240700000.0,,
Premier Energies Ltd.,PREMIERENE,409845104640,9371320000.0,2313600000.0,-128050000.0,-143600000.0,,
Prestige Estates Projects Ltd.,PRESTIGE,701185785856,4675000000.0,13741000000.0,9418000000.0,11500000000.0,,
Punjab National Bank,PNB,1345853587456,184802900000.0,91072000000.0,33484500000.0,38607400000.0,,
REC Ltd.,RECLTD,883657080832,158842300000.0,141454600000.0,111669800000.0,100357000000.0,,
Rail Vikas Nigam Ltd.,RVNL,646530531328,12813900000.0,15506900000.0,13417500000.0,11101400000.0,,
Reliance Industries Ltd.,RELIANCE,20871901085696,696480000000.0,696210000000.0,667020000000.0,607050000000.0,,
SBI Cards and Payment Services Ltd.,SBICARD,806626852864,19164100000.0,24078800000.0,22584700000.0,16161400000.0,,
SBI Life Insurance Company Ltd.,SBILIFE,2042071089152,24133000000.0,18937800000.0,17205724000.0,15059977000.0,,
SRF Ltd.,SRF,893928341504,12507800000.0,13357100000.0,21623400000.0,18889200000.0,,
Samvardhana Motherson International Ltd.,MOTHERSON,1261994770432,38030000000.0,27162000000.0,14956000000.0,8738500000.0,,
Shree Cement Ltd.,SHREECEM,938709549056,11227700000.0,23957000000.0,12707000000.0,23319400000.0,,
Shriram Finance Ltd.,SHRIRAMFIN,1596147630080,95538200000.0,73663800000.0,60110400000.0,27211000000.0,,
Siemens Energy India Ltd.,ENRIN,1061167890432,11001000000.0,6000000000.0,,,,
Siemens Ltd.,SIEMENS,1125911232512,21042000000.0,27166000000.0,19609000000.0,15429000000.0,,
Solar Industries India Ltd.,SOLARINDS,1078460481536,12094400000.0,8359300000.0,7571900000.0,4412800000.0,,
Sona BLW Precision Forgings Ltd.,SONACOMS,301723254784,6012130000.0,5172670000.0,3952970000.0,3615430000.0,,
State Bank of India,SBIN,8872007827456,775613371000.0,670846661000.0,556481728000.0,353738798000.0,,
Steel Authority of India Ltd.,SAIL,536522784768,23718200000.0,30666700000.0,21765300000.0,122434700000.0,,
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,4273935482880,109290400000.0,95763800000.0,84735800000.0,32727300000.0,,
Supreme Industries Ltd.,SUPREMEIND,432930586624,9608800000.0,10697200000.0,8653300000.0,9684500000.0,,
Suzlon Energy Ltd.,SUZLON,722375671808,20716300000.0,6603500000.0,28490100000.0,-1995900000.0,,
Swiggy Ltd.,SWIGGY,1025770586112,-31167990000.0,-23502430000.0,-41793050000.0,-36288960000.0,,
TVS Motor Company Ltd.,TVSMOTOR,1719017144320,22355600000.0,16863700000.0,13286700000.0,7568200000.0,,
Tata Communications Ltd.,TATACOMM,520068005888,18363600000.0,9683400000.0,17959600000.0,14817600000.0,,
Tata Consultancy Services Ltd.,TCS,11596332007424,485530000000.0,459080000000.0,421470000000.0,383270000000.0,,
Tata Consumer Products Ltd.,TATACONSUM,1157816385536,12784700000.0,11503300000.0,12037700000.0,9357800000.0,,
Tata Elxsi Ltd.,TATAELXSI,311510990848,7849368000.0,7922379000.0,7551932000.0,5496715000.0,,
Tata Motors Passenger Vehicles Ltd.,TMPV,2543161180160,278300000000.0,313990000000.0,24142900000.0,-114414700000.0,,
Tata Power Co. Ltd.,TATAPOWER,1214062133248,39710000000.0,36962500000.0,33364400000.0,17414600000.0,,
Tata Steel Ltd.,TATASTEEL,2118093897728,34205100000.0,-44374400000.0,87604000000.0,401539300000.0,,
Tata Technologies Ltd.,TATATECH,263875346432,6769500000.0,6793700000.0,6240300000.0,4369910000.0,,
Tech Mahindra Ltd.,TECHM,1397919055872,42515000000.0,23578000000.0,48313000000.0,55661000000.0,,
Titan Company Ltd.,TITAN,3485644357632,33370000000.0,34960000000.0,32500000000.0,21730000000.0,,
Torrent Pharmaceuticals Ltd.,TORNTPHARM,1274280935424,19112500000.0,16563800000.0,12452300000.0,7771800000.0,,
Torrent Power Ltd.,TORNTPOWER,645601230848,29885000000.0,18332300000.0,21174300000.0,4539800000.0,,
Trent Ltd.,TRENT,1460934934528,15467200000.0,14868000000.0,4446300000.0,1058300000.0,,
Tube Investments of India Ltd.,TIINDIA,507457568768,6737100000.0,12059200000.0,9555200000.0,7688300000.0,,
UPL Ltd.,UPL,633240748032,8970000000.0,-12000000000.0,35700000000.0,36260000000.0,,
UltraTech Cement Ltd.,ULTRACEMCO,3390782046208,60391100000.0,70050000000.0,50639600000.0,73443100000.0,,
Union Bank of India,UNIONBANK,1169468424192,180269508000.0,137971187000.0,85116600000.0,52653205000.0,,
United Spirits Ltd.,UNITDSPR,1057869201408,15820000000.0,14080000000.0,11370000000.0,8286000000.0,,
Varun Beverages Ltd.,VBL,1613715996672,,25946330000.0,20559220000.0,14974330000.0,6940520000.0,
Vedanta Ltd.,VEDL,2224070852608,149880000000.0,42390000000.0,105740000000.0,188020000000.0,,
Vishal Mega Mart Ltd.,VMM,635528413184,6319670000.0,4619350000.0,3212730000.0,2027700000.0,,
Vodafone Idea Ltd.,IDEA,1220358438912,-273834000000.0,-312384000000.0,-293011000000.0,-282454000000.0,,
Voltas Ltd.,VOLTAS,461352599552,8413700000.0,2520000000.0,1350100000.0,5040900000.0,,
Waaree Energies Ltd.,WAAREEENER,839623770112,18673900000.0,12371800000.0,4827600000.0,756390000.0,,
Wipro Ltd.,WIPRO,2715387691008,131354000000.0,110452000000.0,113500000000.0,122191000000.0,,
Yes Bank Ltd.,YESBANK,674617294848,24464926000.0,12852015000.0,7358186000.0,10640534000.0,,
Zydus Lifesciences Ltd.,ZYDUSLIFE,920050008064,45255000000.0,38595000000.0,19603000000.0,44873000000.0,,
