Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Insurance And Claims,Total Revenue,Operating Revenue,Market Cap
KOTAKBANK,2023-07-22 03:00:00-04:00,16.44,17.38,5.73,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2023-04-29 04:00:00-04:00,21.98,22.78,3.64,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2023-01-21 02:00:00-05:00,13.12,14.06,7.18,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2022-10-22 03:00:00-04:00,11.89,12.99,9.27,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2022-07-23 02:00:00-04:00,10.8,10.43,-3.41,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2022-05-04 03:00:00-04:00,10.15,13.74,35.37,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2022-01-28 04:00:00-05:00,10.38,10.74,3.44,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2021-10-26 03:00:00-04:00,9.59,10.24,6.83,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2021-07-26 04:00:00-04:00,8.89,8.28,-6.86,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2021-05-03 03:00:00-04:00,9.43,8.28,-12.23,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2021-01-25 03:00:00-05:00,13.82,13.14,-4.92,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2020-10-26 04:00:00-04:00,7.0,11.04,57.71,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2020-07-27 04:00:00-04:00,6.96,6.42,-7.76,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2020-05-13 02:00:00-04:00,13.41,9.7,-27.67,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTAKBANK,2020-01-20 03:00:00-05:00,7.9,8.34,5.57,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
