Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
BOSCHLTD,2022-02-09 02:00:00-05:00,124.16,79.6,-35.89,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2021-05-20 03:00:00-04:00,104.68,163.4,56.09,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2021-02-11 06:00:00-05:00,102.34,105.17,2.77,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2020-11-06 04:00:00-05:00,76.55,-22.0,-128.74,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2020-08-11 04:00:00-04:00,11.82,-40.8,-445.18,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2020-05-22 04:00:00-04:00,64.73,27.5,-57.51,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2020-02-05 02:00:00-05:00,72.69,100.5,38.26,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2019-11-06 10:00:00-05:00,95.69,33.3,-65.2,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2019-08-13 04:00:00-04:00,120.49,94.9,-21.24,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2019-05-21 19:00:00-04:00,131.43,136.5,3.85,2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2019-02-13 02:00:00-05:00,134.24,109.9,-18.13,2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2018-11-05 09:00:00-05:00,132.32,137.6,3.99,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2018-08-10 02:00:00-04:00,132.02,141.2,6.95,2018-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2018-05-22 03:00:00-04:00,187.0,163.29,-12.68,2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2018-02-05 03:00:00-05:00,117.85,92.1,-21.85,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2017-11-13 01:00:00-05:00,115.77,115.8,0.03,2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2017-08-11 04:00:00-04:00,122.81,99.1,-19.31,2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2017-05-26 11:00:00-04:00,139.76,144.3,3.25,2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2017-02-10 08:00:00-05:00,111.98,69.6,-37.85,2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2016-11-09 12:00:00-05:00,121.58,134.7,10.79,2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
