Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
IDFCFIRSTB,2023-01-21 05:00:00-05:00,0.85,0.96,12.94,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,2022-10-22 06:00:00-04:00,0.84,0.88,4.76,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,2022-07-30 06:00:00-04:00,0.7,0.75,7.14,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,2022-04-30 06:00:00-04:00,1.19,0.54,-54.62,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,2022-01-29 07:00:00-05:00,0.78,0.45,-42.31,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,2021-10-30 06:00:00-04:00,0.54,0.24,-55.56,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,2021-07-31 07:00:00-04:00,0.65,-1.02,-256.92,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,2021-05-08 12:00:00-04:00,0.08,0.22,175.0,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,2021-01-30 09:00:00-05:00,0.07,0.23,228.57,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,2020-10-31 10:00:00-04:00,-0.03,0.18,700.0,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,2020-07-28 11:00:00-04:00,-0.05,0.19,480.0,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,2020-05-22 08:00:00-04:00,0.14,0.15,7.14,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,2020-01-29 11:00:00-05:00,0.12,-3.43,-2958.33,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
