Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
M&MFIN,2023-08-22 07:00:00-04:00,0.14,0.26,90.04,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2023-06-01 06:00:00-04:00,0.46,0.56,22.94,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2023-03-02 06:00:00-05:00,1.59,1.88,17.98,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2022-11-17 06:00:00-05:00,0.19,0.52,174.81,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2022-08-23 06:00:00-04:00,0.88,1.0,13.62,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2022-05-26 06:00:00-04:00,0.82,1.08,31.54,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2022-02-22 06:00:00-05:00,1.99,2.45,22.87,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2021-11-18 06:00:00-05:00,0.33,1.23,275.46,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2021-08-19 06:00:00-04:00,0.18,1.29,605.61,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2021-05-18 06:00:00-04:00,-0.39,0.39,200.69,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2021-02-23 06:00:00-05:00,0.11,0.8,612.31,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2020-11-19 06:00:00-05:00,-0.78,-0.19,75.77,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2020-09-01 20:00:00-04:00,-1.74,-0.81,53.36,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2020-06-09 06:00:00-04:00,-2.15,-2.03,5.43,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&MFIN,2020-02-25 06:00:00-05:00,1.96,2.12,8.03,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
