Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Selling General And Administration,General And Administrative Expense,Insurance And Claims,Salaries And Wages,Total Revenue,Operating Revenue,Other Non Interest Expense,Market Cap
HDFCBANK,2022-07-16 04:00:00-04:00,8.19,8.25,0.68,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,2022-04-16 04:00:00-04:00,9.22,9.0,-2.41,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,2022-01-15 03:00:00-05:00,8.99,9.25,2.89,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,2021-10-16 05:00:00-04:00,7.91,7.95,0.51,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,2021-07-17 03:00:00-04:00,7.29,6.95,-4.7,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,2021-04-17 05:00:00-04:00,7.4,7.35,-0.64,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,2021-01-16 06:00:00-05:00,8.83,7.9,-10.51,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,2020-10-17 07:00:00-04:00,8.03,6.8,-15.29,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,2020-07-18 03:00:00-04:00,6.86,6.05,-11.81,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,2020-04-18 05:00:00-04:00,7.84,6.3,-19.62,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK,2020-01-18 05:00:00-05:00,6.12,6.7,9.5,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
