Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Depreciation And Amortization In Income Statement,Total Revenue,Operating Revenue,Net Policyholder Benefits And Claims,Market Cap
BAJAJFINSV,2019-07-25 06:00:00-04:00,5.41,5.31,-1.9,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2019-05-16 09:00:00-04:00,5.46,5.27,-3.39,2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2019-01-29 06:00:00-05:00,4.9,5.34,9.05,2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2018-10-23 07:00:00-04:00,5.63,4.42,-21.55,2018-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2018-07-19 06:00:00-04:00,4.83,5.19,7.52,2018-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2018-05-17 08:00:00-04:00,5.2,4.31,-17.12,2018-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2018-02-01 06:00:00-05:00,4.92,4.7,-4.54,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2017-10-16 07:00:00-04:00,4.43,4.1,-7.43,2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2017-07-19 07:00:00-04:00,4.18,4.12,-1.44,2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2017-05-17 08:00:00-04:00,3.73,3.36,-9.92,2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2016-02-03 10:00:00-05:00,2.98,2.75,-7.59,2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2015-10-20 11:00:00-04:00,2.88,2.77,-3.85,2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2015-07-22 11:00:00-04:00,2.54,2.93,15.31,2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2015-05-20 12:00:00-04:00,4.51,4.44,-1.6,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,2015-01-19 00:00:00-05:00,2.01,2.18,8.3,2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
