Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
AXISBANK,2023-07-26 06:00:00-04:00,18.17,18.75,3.18,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2023-04-27 06:00:00-04:00,3.98,21.28,434.76,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2023-01-23 05:00:00-05:00,17.66,18.8,6.47,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2022-10-20 07:00:00-04:00,14.36,17.23,20.02,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2022-07-25 04:00:00-04:00,11.78,13.4,13.78,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2022-04-28 07:00:00-04:00,12.57,13.38,6.46,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2022-01-24 06:00:00-05:00,10.84,11.75,8.43,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2021-10-26 07:00:00-04:00,10.17,10.19,0.21,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2021-07-26 07:00:00-04:00,8.96,7.03,-21.5,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2021-04-27 07:00:00-04:00,8.58,8.72,1.58,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2021-01-27 06:00:00-05:00,8.42,3.65,-56.66,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2020-10-28 08:00:00-04:00,5.1,5.69,11.48,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2020-07-21 07:00:00-04:00,5.37,3.94,-26.57,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2020-04-28 07:00:00-04:00,5.14,-4.92,-195.65,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,2020-01-22 06:00:00-05:00,8.15,6.21,-23.8,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
