Symbol,Increased_25_pct,Start_Date,End_Date,Percentage_Change,In_2020
BHARTIARTL,Yes,19/02/19,19/08/19,29.46%,No
BHARTIARTL,Yes,20/02/19,19/08/19,27.24%,No
BHARTIARTL,Yes,21/02/19,20/08/19,25.83%,No
BHARTIARTL,Yes,23/05/19,19/11/19,29.68%,No
BHARTIARTL,Yes,27/05/19,25/11/19,29.16%,No
BHARTIARTL,Yes,28/05/19,25/11/19,30.61%,No
BHARTIARTL,Yes,29/05/19,25/11/19,33.23%,No
BHARTIARTL,Yes,03/06/19,02/12/19,30.01%,No
BHARTIARTL,Yes,04/06/19,02/12/19,30.14%,No
BHARTIARTL,Yes,06/06/19,03/12/19,29.76%,No
BHARTIARTL,Yes,07/06/19,04/12/19,29.21%,No
BHARTIARTL,Yes,14/06/19,11/12/19,25.32%,No
BHARTIARTL,Yes,20/06/19,17/12/19,26.22%,No
BHARTIARTL,Yes,21/06/19,18/12/19,27.49%,No
BHARTIARTL,Yes,24/06/19,23/12/19,31.79%,No
BHARTIARTL,Yes,25/06/19,23/12/19,30.46%,No
BHARTIARTL,Yes,26/06/19,23/12/19,31.62%,No
BHARTIARTL,Yes,27/06/19,24/12/19,31.12%,No
BHARTIARTL,Yes,28/06/19,26/12/19,29.11%,No
BHARTIARTL,Yes,01/07/19,30/12/19,32.14%,No
BHARTIARTL,Yes,02/07/19,30/12/19,30.23%,No
BHARTIARTL,Yes,03/07/19,30/12/19,30.38%,No
BHARTIARTL,Yes,04/07/19,31/12/19,25.65%,No
BHARTIARTL,Yes,08/07/19,06/01/20,26.16%,Yes
BHARTIARTL,Yes,10/07/19,06/01/20,25.41%,Yes
BHARTIARTL,Yes,12/07/19,08/01/20,28.85%,Yes
BHARTIARTL,Yes,15/07/19,13/01/20,33.74%,Yes
BHARTIARTL,Yes,16/07/19,13/01/20,33.68%,Yes
BHARTIARTL,Yes,17/07/19,13/01/20,35.42%,Yes
BHARTIARTL,Yes,18/07/19,14/01/20,37.04%,Yes
BHARTIARTL,Yes,19/07/19,15/01/20,37.62%,Yes
BHARTIARTL,Yes,22/07/19,20/01/20,48.50%,Yes
BHARTIARTL,Yes,23/07/19,20/01/20,48.05%,Yes
BHARTIARTL,Yes,24/07/19,20/01/20,50.10%,Yes
BHARTIARTL,Yes,25/07/19,21/01/20,50.96%,Yes
BHARTIARTL,Yes,26/07/19,22/01/20,53.63%,Yes
BHARTIARTL,Yes,29/07/19,27/01/20,53.76%,Yes
BHARTIARTL,Yes,30/07/19,27/01/20,48.78%,Yes
BHARTIARTL,Yes,31/07/19,27/01/20,52.37%,Yes
BHARTIARTL,Yes,01/08/19,28/01/20,51.67%,Yes
BHARTIARTL,Yes,02/08/19,29/01/20,42.70%,Yes
BHARTIARTL,Yes,05/08/19,03/02/20,42.59%,Yes
BHARTIARTL,Yes,06/08/19,03/02/20,38.43%,Yes
BHARTIARTL,Yes,07/08/19,03/02/20,39.32%,Yes
BHARTIARTL,Yes,08/08/19,04/02/20,39.43%,Yes
BHARTIARTL,Yes,09/08/19,05/02/20,43.70%,Yes
BHARTIARTL,Yes,13/08/19,10/02/20,53.19%,Yes
BHARTIARTL,Yes,14/08/19,10/02/20,49.14%,Yes
BHARTIARTL,Yes,16/08/19,12/02/20,49.25%,Yes
BHARTIARTL,Yes,19/08/19,17/02/20,56.47%,Yes
BHARTIARTL,Yes,20/08/19,17/02/20,57.76%,Yes
BHARTIARTL,Yes,21/08/19,17/02/20,59.16%,Yes
BHARTIARTL,Yes,22/08/19,18/02/20,55.42%,Yes
BHARTIARTL,Yes,23/08/19,19/02/20,52.47%,Yes
BHARTIARTL,Yes,26/08/19,24/02/20,46.93%,Yes
BHARTIARTL,Yes,27/08/19,24/02/20,52.14%,Yes
BHARTIARTL,Yes,28/08/19,24/02/20,53.24%,Yes
BHARTIARTL,Yes,29/08/19,25/02/20,55.82%,Yes
BHARTIARTL,Yes,30/08/19,26/02/20,54.54%,Yes
BHARTIARTL,Yes,03/09/19,02/03/20,53.88%,Yes
BHARTIARTL,Yes,04/09/19,02/03/20,49.94%,Yes
BHARTIARTL,Yes,05/09/19,03/03/20,49.78%,Yes
BHARTIARTL,Yes,06/09/19,04/03/20,47.96%,Yes
BHARTIARTL,Yes,09/09/19,09/03/20,39.22%,Yes
BHARTIARTL,Yes,11/09/19,09/03/20,39.75%,Yes
BHARTIARTL,Yes,12/09/19,11/03/20,42.08%,Yes
BHARTIARTL,Yes,13/09/19,11/03/20,43.94%,Yes
BHARTIARTL,Yes,16/09/19,16/03/20,35.12%,Yes
BHARTIARTL,Yes,17/09/19,16/03/20,36.77%,Yes
BHARTIARTL,Yes,18/09/19,16/03/20,38.50%,Yes
BHARTIARTL,Yes,19/09/19,17/03/20,34.69%,Yes
BHARTIARTL,Yes,03/10/19,31/03/20,27.83%,Yes
BHARTIARTL,Yes,07/10/19,07/04/20,37.67%,Yes
BHARTIARTL,Yes,09/10/19,07/04/20,30.83%,Yes
BHARTIARTL,Yes,14/10/19,13/04/20,30.15%,Yes
BHARTIARTL,Yes,15/10/19,13/04/20,33.51%,Yes
BHARTIARTL,Yes,16/10/19,13/04/20,32.95%,Yes
BHARTIARTL,Yes,17/10/19,15/04/20,32.31%,Yes
BHARTIARTL,Yes,18/10/19,15/04/20,33.12%,Yes
BHARTIARTL,Yes,22/10/19,20/04/20,31.06%,Yes
BHARTIARTL,Yes,23/10/19,20/04/20,36.06%,Yes
BHARTIARTL,Yes,24/10/19,21/04/20,34.42%,Yes
BHARTIARTL,Yes,25/10/19,22/04/20,33.65%,Yes
BHARTIARTL,Yes,27/10/19,24/04/20,32.47%,Yes
BHARTIARTL,Yes,29/10/19,27/04/20,37.27%,Yes
BHARTIARTL,Yes,30/10/19,27/04/20,34.27%,Yes
BHARTIARTL,Yes,31/10/19,28/04/20,29.77%,Yes
BHARTIARTL,Yes,01/11/19,29/04/20,32.96%,Yes
BHARTIARTL,Yes,04/11/19,04/05/20,40.87%,Yes
BHARTIARTL,Yes,05/11/19,04/05/20,38.69%,Yes
BHARTIARTL,Yes,06/11/19,04/05/20,43.36%,Yes
BHARTIARTL,Yes,07/11/19,05/05/20,42.04%,Yes
BHARTIARTL,Yes,08/11/19,06/05/20,47.91%,Yes
BHARTIARTL,Yes,11/11/19,11/05/20,44.33%,Yes
BHARTIARTL,Yes,13/11/19,11/05/20,45.47%,Yes
BHARTIARTL,Yes,14/11/19,12/05/20,54.44%,Yes
BHARTIARTL,Yes,15/11/19,13/05/20,41.45%,Yes
BHARTIARTL,Yes,18/11/19,18/05/20,31.49%,Yes
BHARTIARTL,Yes,21/11/19,19/05/20,40.46%,Yes
BHARTIARTL,Yes,22/11/19,20/05/20,41.22%,Yes
BHARTIARTL,Yes,26/11/19,26/05/20,29.35%,Yes
BHARTIARTL,Yes,27/11/19,26/05/20,29.05%,Yes
BHARTIARTL,Yes,28/11/19,26/05/20,28.08%,Yes
BHARTIARTL,Yes,29/11/19,27/05/20,27.27%,Yes
BHARTIARTL,Yes,09/12/19,08/06/20,31.24%,Yes
BHARTIARTL,Yes,10/12/19,08/06/20,30.91%,Yes
BHARTIARTL,Yes,11/12/19,08/06/20,32.16%,Yes
BHARTIARTL,Yes,12/12/19,09/06/20,29.44%,Yes
BHARTIARTL,Yes,13/12/19,10/06/20,32.56%,Yes
BHARTIARTL,Yes,16/12/19,15/06/20,30.54%,Yes
BHARTIARTL,Yes,17/12/19,15/06/20,25.17%,Yes
BHARTIARTL,Yes,18/12/19,15/06/20,25.64%,Yes
BHARTIARTL,Yes,23/12/19,22/06/20,27.76%,Yes
BHARTIARTL,Yes,24/12/19,22/06/20,27.10%,Yes
BHARTIARTL,Yes,26/12/19,23/06/20,29.33%,Yes
BHARTIARTL,Yes,01/01/20,29/06/20,25.10%,Yes
BHARTIARTL,Yes,06/01/20,06/07/20,28.23%,Yes
BHARTIARTL,Yes,07/01/20,06/07/20,29.54%,Yes
BHARTIARTL,Yes,08/01/20,06/07/20,25.66%,Yes
BHARTIARTL,Yes,13/01/20,13/07/20,25.14%,Yes
BHARTIARTL,Yes,14/01/20,13/07/20,25.02%,Yes
BHARTIARTL,Yes,15/01/20,13/07/20,25.42%,Yes
BHARTIARTL,Yes,24/09/20,23/03/21,26.22%,Yes
BHARTIARTL,Yes,07/10/20,05/04/21,25.04%,Yes
BHARTIARTL,Yes,08/10/20,06/04/21,25.39%,Yes
BHARTIARTL,Yes,09/10/20,07/04/21,27.38%,Yes
BHARTIARTL,Yes,12/10/20,12/04/21,25.88%,Yes
BHARTIARTL,Yes,13/10/20,12/04/21,25.80%,Yes
BHARTIARTL,Yes,14/10/20,12/04/21,26.42%,Yes
BHARTIARTL,Yes,15/10/20,13/04/21,34.31%,Yes
BHARTIARTL,Yes,16/10/20,15/04/21,34.28%,Yes
BHARTIARTL,Yes,19/10/20,19/04/21,32.37%,Yes
BHARTIARTL,Yes,20/10/20,19/04/21,29.99%,Yes
BHARTIARTL,Yes,21/10/20,19/04/21,25.64%,Yes
BHARTIARTL,Yes,30/10/20,28/04/21,25.49%,Yes
BHARTIARTL,Yes,05/03/21,01/09/21,25.08%,No
BHARTIARTL,Yes,09/03/21,06/09/21,25.46%,No
BHARTIARTL,Yes,12/03/21,08/09/21,27.40%,No
BHARTIARTL,Yes,15/03/21,13/09/21,32.60%,No
BHARTIARTL,Yes,16/03/21,13/09/21,30.98%,No
BHARTIARTL,Yes,17/03/21,13/09/21,32.59%,No
BHARTIARTL,Yes,18/03/21,14/09/21,31.68%,No
BHARTIARTL,Yes,19/03/21,15/09/21,36.90%,No
BHARTIARTL,Yes,22/03/21,20/09/21,37.30%,No
BHARTIARTL,Yes,23/03/21,20/09/21,36.98%,No
BHARTIARTL,Yes,24/03/21,20/09/21,38.44%,No
BHARTIARTL,Yes,25/03/21,21/09/21,43.11%,No
BHARTIARTL,Yes,26/03/21,22/09/21,39.09%,No
BHARTIARTL,Yes,30/03/21,27/09/21,41.15%,No
BHARTIARTL,Yes,31/03/21,27/09/21,42.30%,No
BHARTIARTL,Yes,01/04/21,28/09/21,36.18%,No
BHARTIARTL,Yes,05/04/21,04/10/21,31.41%,No
BHARTIARTL,Yes,06/04/21,04/10/21,30.44%,No
BHARTIARTL,Yes,07/04/21,04/10/21,28.17%,No
BHARTIARTL,Yes,08/04/21,05/10/21,31.19%,No
BHARTIARTL,Yes,09/04/21,06/10/21,29.18%,No
BHARTIARTL,Yes,12/04/21,11/10/21,34.72%,No
BHARTIARTL,Yes,13/04/21,11/10/21,31.27%,No
BHARTIARTL,Yes,15/04/21,12/10/21,29.64%,No
BHARTIARTL,Yes,16/04/21,13/10/21,29.98%,No
BHARTIARTL,Yes,19/04/21,18/10/21,31.71%,No
BHARTIARTL,Yes,20/04/21,18/10/21,30.78%,No
BHARTIARTL,Yes,22/04/21,19/10/21,30.71%,No
BHARTIARTL,Yes,23/04/21,20/10/21,38.11%,No
BHARTIARTL,Yes,26/04/21,25/10/21,33.46%,No
BHARTIARTL,Yes,27/04/21,25/10/21,31.78%,No
BHARTIARTL,Yes,28/04/21,25/10/21,29.35%,No
BHARTIARTL,Yes,29/04/21,26/10/21,31.14%,No
BHARTIARTL,Yes,30/04/21,27/10/21,33.31%,No
BHARTIARTL,Yes,03/05/21,01/11/21,29.89%,No
BHARTIARTL,Yes,04/05/21,01/11/21,31.39%,No
BHARTIARTL,Yes,05/05/21,01/11/21,29.63%,No
BHARTIARTL,Yes,06/05/21,02/11/21,30.18%,No
BHARTIARTL,Yes,07/05/21,03/11/21,25.28%,No
BHARTIARTL,Yes,10/05/21,08/11/21,26.16%,No
BHARTIARTL,Yes,11/05/21,08/11/21,27.08%,No
BHARTIARTL,Yes,12/05/21,08/11/21,28.58%,No
BHARTIARTL,Yes,14/05/21,10/11/21,33.70%,No
BHARTIARTL,Yes,17/05/21,15/11/21,36.70%,No
BHARTIARTL,Yes,18/05/21,15/11/21,40.09%,No
BHARTIARTL,Yes,19/05/21,15/11/21,42.26%,No
BHARTIARTL,Yes,20/05/21,16/11/21,42.90%,No
BHARTIARTL,Yes,21/05/21,17/11/21,38.16%,No
BHARTIARTL,Yes,24/05/21,22/11/21,43.51%,No
BHARTIARTL,Yes,25/05/21,22/11/21,43.71%,No
BHARTIARTL,Yes,26/05/21,22/11/21,43.80%,No
BHARTIARTL,Yes,27/05/21,23/11/21,48.74%,No
BHARTIARTL,Yes,28/05/21,24/11/21,47.66%,No
BHARTIARTL,Yes,31/05/21,29/11/21,40.82%,No
BHARTIARTL,Yes,01/06/21,29/11/21,41.35%,No
BHARTIARTL,Yes,02/06/21,29/11/21,42.25%,No
BHARTIARTL,Yes,03/06/21,30/11/21,39.45%,No
BHARTIARTL,Yes,04/06/21,01/12/21,38.13%,No
BHARTIARTL,Yes,07/06/21,06/12/21,32.48%,No
BHARTIARTL,Yes,08/06/21,06/12/21,29.97%,No
BHARTIARTL,Yes,09/06/21,06/12/21,31.61%,No
BHARTIARTL,Yes,10/06/21,07/12/21,30.60%,No
BHARTIARTL,Yes,11/06/21,08/12/21,34.71%,No
BHARTIARTL,Yes,14/06/21,13/12/21,32.81%,No
BHARTIARTL,Yes,15/06/21,13/12/21,32.04%,No
BHARTIARTL,Yes,16/06/21,13/12/21,33.45%,No
BHARTIARTL,Yes,17/06/21,14/12/21,33.28%,No
BHARTIARTL,Yes,18/06/21,15/12/21,29.62%,No
BHARTIARTL,Yes,22/06/21,20/12/21,25.02%,No
BHARTIARTL,Yes,23/06/21,20/12/21,25.57%,No
BHARTIARTL,Yes,24/06/21,21/12/21,28.51%,No
BHARTIARTL,Yes,25/06/21,22/12/21,30.37%,No
BHARTIARTL,Yes,28/06/21,27/12/21,29.60%,No
BHARTIARTL,Yes,29/06/21,27/12/21,31.14%,No
BHARTIARTL,Yes,30/06/21,27/12/21,30.97%,No
BHARTIARTL,Yes,01/07/21,28/12/21,32.56%,No
BHARTIARTL,Yes,02/07/21,29/12/21,31.34%,No
BHARTIARTL,Yes,05/07/21,03/01/22,34.42%,No
BHARTIARTL,Yes,06/07/21,03/01/22,33.87%,No
BHARTIARTL,Yes,07/07/21,03/01/22,32.98%,No
BHARTIARTL,Yes,08/07/21,04/01/22,35.26%,No
BHARTIARTL,Yes,09/07/21,05/01/22,32.99%,No
BHARTIARTL,Yes,12/07/21,10/01/22,35.60%,No
BHARTIARTL,Yes,13/07/21,10/01/22,35.49%,No
BHARTIARTL,Yes,14/07/21,10/01/22,35.49%,No
BHARTIARTL,Yes,15/07/21,11/01/22,36.39%,No
BHARTIARTL,Yes,16/07/21,12/01/22,37.47%,No
BHARTIARTL,Yes,19/07/21,17/01/22,37.85%,No
BHARTIARTL,Yes,20/07/21,17/01/22,41.18%,No
BHARTIARTL,Yes,22/07/21,18/01/22,33.12%,No
BHARTIARTL,Yes,23/07/21,19/01/22,30.75%,No
BHARTIARTL,Yes,26/07/21,24/01/22,29.19%,No
BHARTIARTL,Yes,27/07/21,24/01/22,30.03%,No
BHARTIARTL,Yes,29/07/21,25/01/22,27.87%,No
BHARTIARTL,Yes,30/07/21,27/01/22,28.29%,No
BHARTIARTL,Yes,02/08/21,31/01/22,31.47%,No
BHARTIARTL,Yes,03/08/21,31/01/22,28.06%,No
BHARTIARTL,Yes,04/08/21,31/01/22,29.35%,No
BHARTIARTL,Yes,24/05/22,21/11/22,26.07%,No
BHARTIARTL,Yes,08/06/22,05/12/22,27.82%,No
BHARTIARTL,Yes,16/06/22,13/12/22,28.67%,No
BHARTIARTL,Yes,17/06/22,14/12/22,29.40%,No
BHARTIARTL,Yes,20/06/22,19/12/22,31.71%,No
BHARTIARTL,Yes,21/06/22,19/12/22,29.01%,No
BHARTIARTL,Yes,22/06/22,19/12/22,31.31%,No
BHARTIARTL,Yes,23/06/22,20/12/22,26.12%,No
BHARTIARTL,Yes,13/07/22,09/01/23,27.90%,No
BHARTIARTL,Yes,17/04/23,16/10/23,25.18%,No
BHARTIARTL,Yes,18/04/23,16/10/23,25.16%,No
BHARTIARTL,Yes,21/04/23,18/10/23,25.09%,No
BHARTIARTL,Yes,06/06/23,04/12/23,25.10%,No
BHARTIARTL,Yes,17/07/23,15/01/24,26.12%,No
BHARTIARTL,Yes,18/07/23,15/01/24,26.50%,No
BHARTIARTL,Yes,19/07/23,15/01/24,27.19%,No
BHARTIARTL,Yes,24/07/23,23/01/24,30.98%,No
BHARTIARTL,Yes,25/07/23,23/01/24,31.65%,No
BHARTIARTL,Yes,26/07/23,23/01/24,30.80%,No
BHARTIARTL,Yes,27/07/23,23/01/24,29.96%,No
BHARTIARTL,Yes,28/07/23,24/01/24,33.55%,No
BHARTIARTL,Yes,31/07/23,29/01/24,31.19%,No
BHARTIARTL,Yes,01/08/23,29/01/24,30.94%,No
BHARTIARTL,Yes,02/08/23,29/01/24,32.96%,No
BHARTIARTL,Yes,03/08/23,30/01/24,33.53%,No
BHARTIARTL,Yes,04/08/23,31/01/24,32.20%,No
BHARTIARTL,Yes,07/08/23,05/02/24,25.50%,No
BHARTIARTL,Yes,08/08/23,05/02/24,26.35%,No
BHARTIARTL,Yes,09/08/23,05/02/24,26.59%,No
BHARTIARTL,Yes,10/08/23,06/02/24,30.23%,No
BHARTIARTL,Yes,11/08/23,07/02/24,30.30%,No
BHARTIARTL,Yes,14/08/23,12/02/24,29.02%,No
BHARTIARTL,Yes,16/08/23,12/02/24,30.54%,No
BHARTIARTL,Yes,17/08/23,13/02/24,30.48%,No
BHARTIARTL,Yes,18/08/23,14/02/24,30.32%,No
BHARTIARTL,Yes,21/08/23,19/02/24,30.99%,No
BHARTIARTL,Yes,22/08/23,19/02/24,30.14%,No
BHARTIARTL,Yes,23/08/23,19/02/24,31.57%,No
BHARTIARTL,Yes,24/08/23,20/02/24,31.57%,No
BHARTIARTL,Yes,25/08/23,21/02/24,30.50%,No
BHARTIARTL,Yes,28/08/23,26/02/24,27.54%,No
BHARTIARTL,Yes,29/08/23,26/02/24,29.80%,No
BHARTIARTL,Yes,30/08/23,26/02/24,29.41%,No
BHARTIARTL,Yes,31/08/23,27/02/24,31.66%,No
BHARTIARTL,Yes,01/09/23,28/02/24,30.35%,No
BHARTIARTL,Yes,04/09/23,04/03/24,31.00%,No
BHARTIARTL,Yes,05/09/23,04/03/24,30.90%,No
BHARTIARTL,Yes,06/09/23,04/03/24,28.76%,No
BHARTIARTL,Yes,07/09/23,05/03/24,33.54%,No
BHARTIARTL,Yes,08/09/23,06/03/24,34.75%,No
BHARTIARTL,Yes,11/09/23,11/03/24,34.33%,No
BHARTIARTL,Yes,12/09/23,11/03/24,34.39%,No
BHARTIARTL,Yes,13/09/23,11/03/24,30.75%,No
BHARTIARTL,Yes,14/09/23,12/03/24,31.62%,No
BHARTIARTL,Yes,18/09/23,18/03/24,33.16%,No
BHARTIARTL,Yes,20/09/23,18/03/24,34.54%,No
BHARTIARTL,Yes,21/09/23,19/03/24,33.81%,No
BHARTIARTL,Yes,22/09/23,20/03/24,35.15%,No
BHARTIARTL,Yes,25/09/23,26/03/24,33.25%,No
BHARTIARTL,Yes,26/09/23,26/03/24,32.91%,No
BHARTIARTL,Yes,27/09/23,26/03/24,31.82%,No
BHARTIARTL,Yes,28/09/23,26/03/24,31.05%,No
BHARTIARTL,Yes,29/09/23,27/03/24,32.21%,No
BHARTIARTL,Yes,03/10/23,01/04/24,31.56%,No
BHARTIARTL,Yes,04/10/23,01/04/24,31.71%,No
BHARTIARTL,Yes,05/10/23,02/04/24,30.08%,No
BHARTIARTL,Yes,06/10/23,03/04/24,32.36%,No
BHARTIARTL,Yes,09/10/23,08/04/24,30.30%,No
BHARTIARTL,Yes,10/10/23,08/04/24,27.03%,No
BHARTIARTL,Yes,11/10/23,08/04/24,26.07%,No
BHARTIARTL,Yes,12/10/23,09/04/24,26.74%,No
BHARTIARTL,Yes,13/10/23,10/04/24,28.84%,No
BHARTIARTL,Yes,16/10/23,15/04/24,29.37%,No
BHARTIARTL,Yes,17/10/23,15/04/24,28.41%,No
BHARTIARTL,Yes,18/10/23,15/04/24,28.51%,No
BHARTIARTL,Yes,19/10/23,16/04/24,29.00%,No
BHARTIARTL,Yes,20/10/23,18/04/24,33.91%,No
BHARTIARTL,Yes,23/10/23,22/04/24,38.14%,No
BHARTIARTL,Yes,25/10/23,22/04/24,40.64%,No
BHARTIARTL,Yes,26/10/23,23/04/24,48.24%,No
BHARTIARTL,Yes,27/10/23,24/04/24,46.12%,No
BHARTIARTL,Yes,30/10/23,29/04/24,43.85%,No
BHARTIARTL,Yes,31/10/23,29/04/24,45.72%,No
BHARTIARTL,Yes,01/11/23,29/04/24,45.87%,No
BHARTIARTL,Yes,02/11/23,30/04/24,43.13%,No
BHARTIARTL,Yes,03/11/23,02/05/24,40.11%,No
BHARTIARTL,Yes,06/11/23,06/05/24,36.65%,No
BHARTIARTL,Yes,07/11/23,06/05/24,36.95%,No
BHARTIARTL,Yes,08/11/23,06/05/24,37.01%,No
BHARTIARTL,Yes,09/11/23,07/05/24,37.95%,No
BHARTIARTL,Yes,10/11/23,08/05/24,37.74%,No
BHARTIARTL,Yes,13/11/23,13/05/24,37.53%,No
BHARTIARTL,Yes,15/11/23,13/05/24,35.36%,No
BHARTIARTL,Yes,16/11/23,14/05/24,35.25%,No
BHARTIARTL,Yes,17/11/23,15/05/24,38.28%,No
BHARTIARTL,Yes,20/11/23,21/05/24,39.83%,No
BHARTIARTL,Yes,21/11/23,21/05/24,38.47%,No
BHARTIARTL,Yes,22/11/23,21/05/24,38.62%,No
BHARTIARTL,Yes,23/11/23,21/05/24,37.64%,No
BHARTIARTL,Yes,24/11/23,22/05/24,38.51%,No
