Symbol	Increased_25_pct	Start_Date	End_Date	Percentage_Change	In_2020	Start_Month	End_Month	Price_Start_Date	Price_End_Date	Target_Price_9m	Increase_9m_Pct	Target_Price_12m	Increase_12m_Pct	CAGR_Prev_3yr	CAGR_Prev_5yr	CAGR_Fwd_1yr	CAGR_Fwd_3yr	CAGR_Fwd_5yr	Market_Cap	Quarter End	Earnings Date	EPS Estimate	Reported EPS	Surprise(%)	EBITDA	EBIT	Diluted EPS	Basic EPS	Net Income	Gross Profit	Total Revenue	Market Cap	Total Revenue_q	Total Revenue_q-1	Total Revenue_q-2	Total Revenue_q+1	Total Revenue_q+2	Gross Profit_q	Gross Profit_q-1	Gross Profit_q-2	Gross Profit_q+1	Gross Profit_q+2	Diluted EPS_q	Diluted EPS_q-1	Diluted EPS_q-2	Diluted EPS_q+1	Diluted EPS_q+2	EBITDA_q	EBITDA_q-1	EBITDA_q-2	EBITDA_q+1	EBITDA_q+2
BHARTIHEXA	Yes	03/02/25	04/08/25	35.98%	No	2	8	1367.068359	1859	1756.988898	-5.487418054	1756.988898	-5.487418054			-5.60516144	-1.904425268	-1.147046491	9.14E+11	31/12/24	2025-02-06 06:00:00-05:00	6.7	7.27	8.49	10910000000	5595000000	5.22	5.22	2609000000	13276000000	22507000000	7.24181E+11	22507000000	20976000000	19106000000	22890000000	22630000000	13276000000	12051000000	10489000000	13573000000	13667000000	5.22	5.06	10.22		7.83	10910000000	10510000000	12340000000	11311000000	12082000000
BHARTIHEXA	Yes	03/03/25	01/09/25	37.28%	No	3	9	1289.346558	1770	1755.815402	-0.801389745	1755.815402	-0.801389745			-0.858754303	-0.287074765	-0.172343886	9.14E+11	31/12/24	2025-02-06 06:00:00-05:00	6.7	7.27	8.49	10910000000	5595000000	5.22	5.22	2609000000	13276000000	22507000000	7.24181E+11	22507000000	20976000000	19106000000	22890000000	22630000000	13276000000	12051000000	10489000000	13573000000	13667000000	5.22	5.06	10.22		7.83	10910000000	10510000000	12340000000	11311000000	12082000000
BSE	Yes	02/12/24	02/06/25	77.60%	No	12	6	1516.500366	2693.300049	2474.724254	-8.11553821	2474.724254	-8.11553821	124.511922	132.7486596	8.755060504	2.83710088	1.692727305	1.07584E+12	30/09/24	2024-11-12 07:00:00-05:00	7.35	8.42	14.51	3881200000	3590500000	8.42	8.42	3467500000	4226200000	7407300000	5.0421E+11	7407300000			7735400000	8297800000	4226200000			4943000000	5543900000	8.42	6.43		5.333333		3881200000			2365300000	9519900000
COCHINSHIP	Yes	01/01/25	30/06/25	32.18%	No	1	6	1557.109619	2058.192383	1794.868048	-12.79396121	1794.868048	-12.79396121	141.0585495	75.15489637	-18.56932258	-6.618105055	-4.025112981	4.34636E+11	31/12/24	2025-02-06 08:00:00-05:00	7.4	7.01	-5.27	2527100000	2527100000	6.73	6.73	1769900000	2704338000	11476355000	4.02117E+11	11476355000	11431977000		15771126000	10685948000	2704338000	2520650000		3381290000	3427755000	6.73	7.18	6.62		7.14	2527100000	2727816000		4012726000	2617115000
COROMANDEL	Yes	01/11/24	30/04/25	31.30%	No	11	4	1680.01416	2205.821777	2262.506003	2.569755464	2262.506003	2.569755464	36.449917	31.77347843	7.293344162	2.374295765	1.417886625	6.95516E+11	30/09/24	2024-10-24 07:00:00-04:00	19.6	22.53	14.95	10268800000	9579000000	22.53	22.57	6640500000	18655500000	74328300000	4.8928E+11	74328300000	47288300000		69351900000	-31602100000	18655500000	12474800000		16367200000	-68024400000	22.53	10.56		17.36		10268800000	5444400000		8269600000	8714300000
FORTIS	Yes	01/02/25	31/07/25	36.95%	No	2	7	626.1094971	857.4500122	942.268423	9.891936505	942.268423	9.891936505	45.79065339	44.28176496	7.539793861	2.452619422	1.464434665	6.81532E+11	31/12/24	2025-02-07 07:00:00-05:00	2.37	2.99	26.3	4218700000	3245400000	3.28	3.28	2479000000	10610200000	19282600000	5.43415E+11	19282600000	19883900000		19483422000	21667200000	10610200000	11187200000		9927842000	11915200000	3.28	2.34	2.2		3.45	4218700000	3925300000		3767680000	5216200000
GODFRYPHLP	Yes	01/01/25	30/06/25	78.27%	No	1	6	1659.996338	2959.357666	3339.841998	12.85699043	3339.841998	12.85699043	107.9931427	57.13701646	-0.812933748	-0.271715541	-0.163118032	4.40711E+11	31/12/24	2025-02-13 07:00:00-05:00	16.47	20.32	23.38	4410700000	4129200000	20.316667	20.316667	3158500000	6263700000	15850900000	2.67935E+11	15850900000	13502600000	10791900000	14622869000	14742500000	6263700000	5680200000	4996500000	5809767000	6158500000	20.316667	15.97	14.7		29.51	4410700000	3796100000	3656000000	4795872000	4789800000
HDFCAMC	Yes	01/01/25	30/06/25	27.07%	No	1	6	2042.936279	2595.899902	2791.630435	7.539987665	2791.630435	7.539987665	45.45585781	18.3618655	3.239728064	1.068452783	0.639708547	1.13437E+12	31/12/24	2025-01-14 04:00:00-05:00	13.65	14.96	9.56	8569700000	8420800000	14.95	15.01	6413600000	8381900000	9346300000	8.80577E+11	9346300000	8872100000	7752400000	9013600000	9681500000	8381900000	7903700000	6740100000	8402300000	8573700000	14.95	13.445	14.09		17.41	8569700000	8744200000	7678300000	8543100000	10060200000
HDFCLIFE	Yes	01/01/25	30/06/25	32.30%	No	1	6	615.4987183	814.2999878	759.2979956	-6.754512221	759.2979956	-6.754512221	14.33385324	8.532994585	-4.482377569	-1.517023073	-0.912995205	1.61446E+12	31/12/24	2025-01-15 05:00:00-05:00	2.53	1.96	-22.53			1.96	1.96	4213100000		1.72467E+11	1.32272E+12	1.72467E+11	2.84997E+11	2.69305E+11	1.73916E+11	2.94696E+11						1.96	2.02	2.23		2.54					
HYUNDAI	Yes	22/01/25	21/07/25	25.30%	No	1	7	1686.168701	2112.836182	2381.23334	12.70316937	2381.23334	12.70316937			9.592027064	3.100234553	1.848770814	1.88599E+12	31/12/24	2025-01-28 04:00:00-05:00	15.75	14.29	-9.26	21199940000	15926160000	14.29	14.29	11607340000	41544500000	1.63231E+11	1.45297E+12	1.63231E+11	1.71312E+11		1.75272E+11	1.61796E+11	41544500000	46669190000		46189610000	45780040000	14.29	18.333251			16.85	21199940000	25640040000		27422440000	24000290000
HYUNDAI	Yes	14/02/25	13/08/25	25.59%	No	2	8	1788.973022	2246.699951	2378.735735	5.876876615	2378.735735	5.876876615			3.062271346	1.010511387	0.605087216	1.88599E+12	31/12/24	2025-01-28 04:00:00-05:00	15.75	14.29	-9.26	21199940000	15926160000	14.29	14.29	11607340000	41544500000	1.63231E+11	1.45297E+12	1.63231E+11	1.71312E+11		1.75272E+11	1.61796E+11	41544500000	46669190000		46189610000	45780040000	14.29	18.333251			16.85	21199940000	25640040000		27422440000	24000290000
HYUNDAI	Yes	03/03/25	01/09/25	46.25%	No	3	9	1678.988281	2455.600098	2404.314296	-2.088524167	2404.314296	-2.088524167			-5.70533035	-1.939136222	-1.168035347	1.88599E+12	31/12/24	2025-01-28 04:00:00-05:00	15.75	14.29	-9.26	21199940000	15926160000	14.29	14.29	11607340000	41544500000	1.63231E+11	1.45297E+12	1.63231E+11	1.71312E+11		1.75272E+11	1.61796E+11	41544500000	46669190000		46189610000	45780040000	14.29	18.333251			16.85	21199940000	25640040000		27422440000	24000290000
INDIGO	Yes	01/01/25	30/06/25	30.05%	No	1	6	4587.946777	5966.41748	5768.17808	-3.32258681	5768.17808	-3.32258681	54.95863176	43.30564658	-0.794739567	-0.265618094	-0.159455625	1.96156E+12	31/12/24	2025-01-24 05:00:00-05:00	68.7	63.12	-8.12	38352000000	38352000000	63.3	63.38	24488000000	62997000000	2.21107E+11	1.75665E+12	2.21107E+11	1.69696E+11	1.95707E+11	1.89676E+11	2.04963E+11	62997000000	14533000000	49221000000	5836000000	47536000000	63.3	-25.55	70.57		56.24	38352000000	3330000000	39616000000	45436000000	37068000000
JIOFIN	Yes	03/02/25	04/08/25	42.71%	No	2	8	233.6057281	333.380127	310.6931818	-6.805128231	310.6931818	-6.805128231			-8.077900441	-2.768576252	-1.670464619	1.88657E+12	31/12/24					3829800000	3772200000	0.46	0.46	2947800000	1934500000	2469900000	1.91117E+12	2469900000	4865700000	1999100000	4139200000	4164400000	1934500000	4188600000	1609900000	3846200000	3527600000	0.46	1.09	0.49		0.51	3829800000	7791000000	4057800000	4092200000	5239000000
JIOFIN	Yes	03/03/25	01/09/25	56.55%	No	3	9	200.6071777	314.0499878	309.0033325	-1.606959232	309.0033325	-1.606959232			-2.419989136	-0.813259018	-0.488752106	1.88657E+12	31/12/24					3829800000	3772200000	0.46	0.46	2947800000	1934500000	2469900000	1.91117E+12	2469900000	4865700000	1999100000	4139200000	4164400000	1934500000	4188600000	1609900000	3846200000	3527600000	0.46	1.09	0.49		0.51	3829800000	7791000000	4057800000	4092200000	5239000000
KOTAKBANK	Yes	01/11/24	30/04/25	26.58%	No	11	4	1742.391113	2205.557129	2097.818406	-4.884875625	2097.818406	-4.884875625	7.322995216	10.29022333	-4.323496158	-1.462448687	-0.880053391	4.30406E+12	30/09/24	2024-10-19 02:00:00-04:00	17.57	16.82	-4.26			25.37	25.37	50440500000		1.97504E+11	3.68177E+12	1.97504E+11	1.82706E+11		1.67751E+11	2.14986E+11						25.37	37.47		23.64						
LTF	Yes	01/01/25	30/06/25	51.94%	No	1	6	135.58638	206.0099945	202.7596002	-1.577784755	202.7596002	-1.577784755	47.54324537	28.80198152	49.62866279	14.37688509	8.393429909	7.54042E+11	31/12/24	2025-01-20 08:00:00-05:00	2.36	2.5	5.93			2.5	2.51	6264000000		26106400000	3.3314E+11	26106400000	24478800000	22780600000	23326000000	25341200000						2.5	2.78	2.74		2.8					
MAZDOCK	Yes	01/11/24	30/04/25	49.03%	No	11	4	2045.322144	3048.155273	2766.248433	-9.248440948	2766.248433	-9.248440948	176.3805176		-12.1632705	-4.230904511	-2.560458575	1.02573E+12	30/09/24					7684900000	7451400000	14.5	14.5	5850800000	9419500000	27568300000	8.44923E+11	27568300000	23570200000		31436200000	29385700000	9419500000	9646000000		13733800000	8826400000	14.5	17.26		20.01		7684900000	9132600000		11035400000	4047200000
MAZDOCK	Yes	01/01/25	30/06/25	44.75%	No	1	6	2234.347656	3234.278809	2771.942896	-14.29486882	2771.942896	-14.29486882	201.138094		-17.21802415	-6.104395416	-3.708676149	1.02573E+12	31/12/24					11035400000	10636800000	20.01	20.01	8070400000	13733800000	31436200000	8.94727E+11	31436200000	27568300000	23570200000	29385700000	26255900000	13733800000	9419500000	9646000000	8826400000	13364800000	20.01	14.5	17.26		11.21	11035400000	7684900000	9132600000	4047200000	5910000000
MFSL	Yes	02/12/24	02/06/25	36.57%	No	12	6	1114.650024	1522.300049	1589.408003	4.408326345	1589.408003	4.408326345	23.40153087	26.90744283	13.53872226	4.323304266	2.571994521	5.77032E+11	30/09/24	2024-10-22 09:00:00-04:00	3.46	3.26	-5.77		1894100000	3.26	3.26	1125600000		1.3372E+11	4.11224E+11	1.3372E+11			89232200000	1.23757E+11						3.26	3.69		1.62						
NYKAA	Yes	23/12/24	23/06/25	27.17%	No	12	6	160.0500031	203.5299988	216.1964686	6.223392067	216.1964686	6.223392067	-5.165627407		30.1282404	9.175163862	5.408179194	7.42426E+11	30/09/24	2024-11-12 05:00:00-05:00	0.12	0.04	-65.96	1091100000	454900000	0.04	0.04	100400000	8210200000	18747400000	4.90981E+11	18747400000			22672100000	19966400000	8210200000			9911400000	7651500000	0.04	0.03		0.09		1091100000			1463100000	1401300000
NYKAA	Yes	01/01/25	30/06/25	26.54%	No	1	6	164.6799927	208.3899994	216.1964686	3.746086286	216.1964686	3.746086286	-3.857262138		27.09343389	8.319763875	4.911868697	7.42426E+11	31/12/24	2025-02-10 05:00:00-05:00	0.15	0.09	-40.66	1463100000	764900000	0.09	0.09	261200000	9911400000	22672100000	4.75268E+11	22672100000	18747400000		19966400000	21549400000	9911400000	8210200000		7651500000	9615100000	0.09	0.04	0.03		0.08	1463100000	1091100000		1401300000	1500100000
NYKAA	Yes	02/01/25	01/07/25	25.24%	No	1	7	165.3200073	207.0500031	216.1964686	4.417515282	216.1964686	4.417515282	-4.224614961		27.91596339	8.552937956	5.047313271	7.42426E+11	31/12/24	2025-02-10 05:00:00-05:00	0.15	0.09	-40.66	1463100000	764900000	0.09	0.09	261200000	9911400000	22672100000	4.75268E+11	22672100000	18747400000		19966400000	21549400000	9911400000	8210200000		7651500000	9615100000	0.09	0.04	0.03		0.08	1463100000	1091100000		1401300000	1500100000
PAYTM	Yes	22/10/24	21/04/25	27.93%	No	10	4	686.4500122	878.1500244	1266.264291	44.19680644	1266.264291	44.19680644	11.05454869		47.25274038	13.76826332	8.046991107	8.42554E+11	30/09/24	2024-10-22 01:00:00-04:00	-0.03	-6.36	-21083.67	11210000000	9420000000	14.29	14.59	9280000000	1530000000	16590000000	4.37795E+11	16590000000	15016000000		18278000000	17519000000	1530000000	-1504000000		3475000000	12659000000	14.29	-13.19		-3.27		11210000000	-6560000000		-339000000	-3872000000
SBICARD	Yes	21/10/24	21/04/25	26.90%	No	10	4	716.8083496	909.6500244	912.8640614	0.353326758	912.8640614	0.353326758	4.91344096	11.9152284	-3.215522367	-1.083538951	-0.651539409	8.22734E+11	30/09/24	2024-10-29 05:00:00-04:00	6.05	4.25	-29.78			4.25	4.25	4044200000		36203000000	7.34042E+11	36203000000	35690200000		37943300000	32842600000						4.25	6.25		4.03						
SBICARD	Yes	01/11/24	30/04/25	26.10%	No	11	4	692.7302856	873.5499878	891.6383341	2.07067101	891.6383341	2.07067101	2.028216033	8.154699623	0.784160806	0.260706665	0.156342536	8.22734E+11	30/09/24	2024-10-29 05:00:00-04:00	6.05	4.25	-29.78			4.25	4.25	4044200000		36203000000	7.34042E+11	36203000000	35690200000		37943300000	32842600000						4.25	6.25		4.03						
SBICARD	Yes	04/11/24	05/05/25	31.75%	No	11	5	686.399231	904.3499756	891.6383341	-1.405610857	891.6383341	-1.405610857	4.945004865	10.66676933	-2.648305614	-0.890678059	-0.535362783	8.22734E+11	30/09/24	2024-10-29 05:00:00-04:00	6.05	4.25	-29.78			4.25	4.25	4044200000		36203000000	7.34042E+11	36203000000	35690200000		37943300000	32842600000						4.25	6.25		4.03						
SBICARD	Yes	02/12/24	02/06/25	31.77%	No	12	6	700.9556885	923.6500244	871.4239157	-5.654317906	871.4239157	-5.654317906	6.099575014	10.42119798	-4.682509485	-1.585852844	-0.954552171	8.22734E+11	30/09/24	2024-10-29 05:00:00-04:00	6.05	4.25	-29.78			4.25	4.25	4044200000		36203000000	7.34042E+11	36203000000	35690200000		37943300000	32842600000						4.25	6.25		4.03						
SBICARD	Yes	01/01/25	30/06/25	41.04%	No	1	6	675.7809448	953.0999756	870.8055556	-8.634395356	870.8055556	-8.634395356	7.814507231	8.907723516	-7.627736128	-2.610112872	-1.574344116	8.22734E+11	31/12/24	2025-01-28 07:00:00-05:00	4.31	4.03	-6.6			4.03	4.03	3832300000		37943300000	6.29403E+11	37943300000	36203000000	35690200000	32842600000	40350800000						4.03	4.25	6.25		5.84					
SBICARD	Yes	02/01/25	01/07/25	33.00%	No	1	7	700.6067505	931.7999878	870.8055556	-6.545871758	870.8055556	-6.545871758	6.801792941	7.761145143	-5.516201336	-1.87361902	-1.128421202	8.22734E+11	31/12/24	2025-01-28 07:00:00-05:00	4.31	4.03	-6.6			4.03	4.03	3832300000		37943300000	6.29403E+11	37943300000	36203000000	35690200000	32842600000	40350800000						4.03	4.25	6.25		5.84					
SBILIFE	Yes	28/11/24	27/05/25	26.47%	No	11	5	1425.886108	1803.300049	1799.767646	-0.195885454	1799.767646	-0.195885454	17.4039004	19.71945718	11.15731968	3.588772951	2.138062017	2.02481E+12	30/09/24	2024-10-23 05:00:00-04:00	6.63	5.28	-20.32			5.28	5.29	5294200000		4.03228E+11	1.84196E+12	4.03228E+11	3.46744E+11		1.88604E+11	2.15549E+11						5.28	5.18		5.49						
SBILIFE	Yes	02/12/24	02/06/25	26.99%	No	12	6	1419.348633	1802.5	1799.443748	-0.169556257	1799.443748	-0.169556257	16.60648027	18.50705332	11.20665742	3.604096819	2.147127308	2.02481E+12	30/09/24	2024-10-23 05:00:00-04:00	6.63	5.28	-20.32			5.28	5.29	5294200000		4.03228E+11	1.84196E+12	4.03228E+11	3.46744E+11		1.88604E+11	2.15549E+11						5.28	5.18		5.49						
SBILIFE	Yes	01/01/25	30/06/25	31.52%	No	1	6	1397.739746	1838.300049	1810.937504	-1.488470015	1810.937504	-1.488470015	19.57981321	18.16807537	9.040958862	2.927135717	1.746137712	2.02481E+12	31/12/24	2025-01-17 04:00:00-05:00	6.29	5.49	-12.72			5.49	5.5	5508200000		1.88604E+11	1.38983E+12	1.88604E+11	4.03228E+11	3.46744E+11	2.15549E+11	3.90129E+11						5.49	5.28	5.18		5.93					
SWIGGY	Yes	28/02/25	28/08/25	25.80%	No	2	8	334.6499939	421	423.7035719	0.64217859	423.7035719	0.64217859			-8.159146343	-2.79723089	-1.687852598	1.01451E+12	31/12/24	2025-02-05 05:00:00-05:00	-2.7	-3.49	-29.24	-6195300000	-7735250000	-3.48	-3.48	-7990800000	24280870000	39930690000	1.24202E+12	39930690000	36010000000	32220000000	42293880000	49610000000	24280870000	22130000000	20270000000	19385410000	28970000000	-3.48	-2.796548	-2.729538		-504	-6195300000	-4716720000	-4690000000	-8432990000	-8680000000
SWIGGY	Yes	03/03/25	01/09/25	31.32%	No	3	9	326.2999878	428.5	423.7035719	-1.119353124	423.7035719	-1.119353124			-9.766629196	-3.367682812	-2.034437541	1.01451E+12	31/12/24	2025-02-05 05:00:00-05:00	-2.7	-3.49	-29.24	-6195300000	-7735250000	-3.48	-3.48	-7990800000	24280870000	39930690000	1.24202E+12	39930690000	36010000000	32220000000	42293880000	49610000000	24280870000	22130000000	20270000000	19385410000	28970000000	-3.48	-2.796548	-2.729538		-504	-6195300000	-4716720000	-4690000000	-8432990000	-8680000000
VMM	Yes	23/12/24	23/06/25	26.65%	No	12	6	101.9400024	129.1100006	149.3668185	15.68958083	149.3668185	15.68958083			4.871809508	1.598256187	0.955911051	6.36743E+11	30/09/24					3156640000	1751180000	0.230638	0.230638	1039880000	6872050000	24362210000		24362210000			31359380000	25321470000	6872050000			9122860000	6677100000	0.230638	0.333019		0.57		3156640000			5240510000	3757320000
VMM	Yes	01/01/25	30/06/25	26.50%	No	1	6	105.9100037	133.9799957	149.3668185	11.48441803	149.3668185	11.48441803			1.059858348	0.352045303	0.211078702	6.36743E+11	31/12/24	2025-01-31 08:00:00-05:00	0.29	0.57	96.55	5240510000	3833880000	0.57	0.58	2627180000	9122860000	31359380000	4.82088E+11	31359380000	24362210000		25321470000	31403190000	9122860000	6872050000		6677100000	8913050000	0.57	0.230638	0.333019		0.44	5240510000	3156640000		3757320000	4761830000
VMM	Yes	13/01/25	14/07/25	31.67%	No	1	7	104.1200027	137.0899963	147.5677778	7.642994958	147.5677778	7.642994958			-1.232768609	-0.412623106	-0.247778568	6.36743E+11	31/12/24	2025-01-31 08:00:00-05:00	0.29	0.57	96.55	5240510000	3833880000	0.57	0.58	2627180000	9122860000	31359380000	4.82088E+11	31359380000	24362210000		25321470000	31403190000	9122860000	6872050000		6677100000	8913050000	0.57	0.230638	0.333019		0.44	5240510000	3156640000		3757320000	4761830000
VMM	Yes	06/02/25	05/08/25	26.27%	No	2	8	116.1200027	146.6199951	149.8538895	2.205629829	149.8538895	2.205629829			-7.652435953	-2.618794149	-1.579608373	6.36743E+11	31/12/24	2025-01-31 08:00:00-05:00	0.29	0.57	96.55	5240510000	3833880000	0.57	0.58	2627180000	9122860000	31359380000	4.82088E+11	31359380000	24362210000		25321470000	31403190000	9122860000	6872050000		6677100000	8913050000	0.57	0.230638	0.333019		0.44	5240510000	3156640000		3757320000	4761830000
VMM	Yes	03/03/25	01/09/25	47.49%	No	3	9	101.0899963	149.1000061	147.7750004	-0.88866909	147.7750004	-0.88866909			-9.188471929	-3.161736182	-1.909218028	6.36743E+11	31/12/24	2025-01-31 08:00:00-05:00	0.29	0.57	96.55	5240510000	3833880000	0.57	0.58	2627180000	9122860000	31359380000	4.82088E+11	31359380000	24362210000		25321470000	31403190000	9122860000	6872050000		6677100000	8913050000	0.57	0.230638	0.333019		0.44	5240510000	3156640000		3757320000	4761830000
WAAREEENER	Yes	13/01/25	14/07/25	28.54%	No	1	7	2485.80542	3195.20752	3190.85882	-0.136100687	3190.85882	-0.136100687			0.68516921	0.227870095	0.136659813	8.76356E+11	31/12/24					8097050000	7206580000	10.33	18.41	4925870000	10175900000	34572880000	7.63363E+11	34572880000	34089000000		39349440000	44258300000	10175900000	8265400000		10884070000	14241800000	10.33	13.719911			25.84	8097050000	6399950000		9923690000	11686700000
WAAREEENER	Yes	03/02/25	04/08/25	32.31%	No	2	8	2333.091064	3086.868408	3192.444962	3.420183156	3192.444962	3.420183156			4.218893462	1.386971971	0.829889571	8.76356E+11	31/12/24					8097050000	7206580000	10.33	18.41	4925870000	10175900000	34572880000	7.63363E+11	34572880000	34089000000		39349440000	44258300000	10175900000	8265400000		10884070000	14241800000	10.33	13.719911			25.84	8097050000	6399950000		9923690000	11686700000
WAAREEENER	Yes	03/03/25	01/09/25	51.25%	No	3	9	2114.86377	3198.705566	3429.853223	7.226287367	3429.853223	7.226287367			0.57506172	0.191320969	0.114748696	8.76356E+11	31/12/24					8097050000	7206580000	10.33	18.41	4925870000	10175900000	34572880000	7.63363E+11	34572880000	34089000000		39349440000	44258300000	10175900000	8265400000		10884070000	14241800000	10.33	13.719911			25.84	8097050000	6399950000		9923690000	11686700000
