Company Name,Symbol,Market Cap,Earnings_2025,Earnings_2024,Earnings_2023,Earnings_2022,Q_Revenue_2025-06-30,Q_Revenue_2025-03-31,Q_Revenue_2024-12-31,Q_Revenue_2024-09-30,Q_Revenue_2024-06-30,Q_Net_Income_2025-06-30,Q_Net_Income_2025-03-31,Q_Net_Income_2024-12-31,Q_Net_Income_2024-09-30,Q_Net_Income_2024-06-30,Q_Total_Assets_2025-03-31,Q_Total_Assets_2024-09-30,Q_Total_Assets_2024-03-31,Q_Total_Equity_2025-03-31,Q_Total_Equity_2024-09-30,Q_Total_Equity_2024-03-31,Earnings_2021,Earnings_2020,Q_Total_Assets_2025-06-30,Q_Total_Assets_2024-12-31,Q_Total_Assets_2024-06-30,Q_Total_Equity_2025-06-30,Q_Total_Equity_2024-12-31,Q_Total_Equity_2024-06-30,Q_Revenue_2025-09-30,Q_Net_Income_2025-09-30,Q_Total_Assets_2025-09-30,Q_Total_Equity_2025-09-30,Q_Op_Cashflow_2024-09-30,Q_Op_Cashflow_2024-06-30,Q_Op_Cashflow_2025-06-30,Q_Op_Cashflow_2025-03-31,Q_Op_Cashflow_2024-12-31,Q_Op_Cashflow_2025-09-30,Q_Revenue_2024-03-31,Q_Net_Income_2024-03-31,Q_Op_Cashflow_2024-03-31
Mankind Pharma Ltd.,MANKIND,905281470464,19909600000.0,19129000000.0,12818591000.0,14334750000.0,35703500000.0,30075100000.0,32300000000.0,30614300000.0,28678500000.0,4383200000.0,4207700000.0,3802300000.0,6534700000.0,5364900000.0,277595300000.0,139822500000.0,119632500000.0,145681800000.0,107893000000.0,95757900000.0,,,,,,,,,,,,,,,,,,,,,
Marico Ltd.,MARICO,962357559296,16290000000.0,14810000000.0,13020000000.0,12250000000.0,32590000000.0,26320000000.0,27940000000.0,26640000000.0,,5040000000.0,3430000000.0,3990000000.0,4230000000.0,,83380000000.0,81240000000.0,74210000000.0,42660000000.0,49560000000.0,41690000000.0,,,,,,,,,34820000000.0,4200000000.0,86790000000.0,42060000000.0,,,,,,,,,
Maruti Suzuki India Ltd.,MARUTI,5217824800768,145002000000.0,134882000000.0,82637000000.0,38795000000.0,366241000000.0,412006000000.0,368051000000.0,355865000000.0,338764000000.0,37924000000.0,39111000000.0,37269000000.0,31025000000.0,37597000000.0,1319718000000.0,1216965000000.0,1153508000000.0,962399000000.0,891260000000.0,856360000000.0,,,,,,,,,,,,,,,,,,,,,
Max Financial Services Ltd.,MFSL,577031897088,3272281000.0,3401071000.0,3784860000.0,2533700000.0,128216900000.0,123757100000.0,89232200000.0,133719600000.0,,696400000.0,313381000.0,560400000.0,1125600000.0,,1899986931000.0,1827912200000.0,1627734686000.0,64032422000.0,62728800000.0,43695404000.0,,,,,,,,,97933700000.0,41200000.0,1968717000000.0,64512600000.0,,,,,,,,,
Max Healthcare Institute Ltd.,MAXHEALTH,1045238579200,10758800000.0,10576400000.0,11035100000.0,6050500000.0,20275700000.0,17916400000.0,18683100000.0,17074600000.0,,3079700000.0,3190000000.0,2388000000.0,2818100000.0,,152144800000.0,131268700000.0,119999400000.0,93808700000.0,87990600000.0,84081400000.0,,,,,,,,,21354700000.0,4913000000.0,162809800000.0,100524100000.0,,,,,,,,,
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,1025725235200,24135100000.0,19369700000.0,11190300000.0,6108400000.0,26255900000.0,29385700000.0,31436200000.0,27568300000.0,23570200000.0,4521500000.0,3252900000.0,8070400000.0,5850800000.0,6961000000.0,287077200000.0,282645100000.0,294488100000.0,79398800000.0,72879700000.0,62434700000.0,,,,,,,,,,,,,,,,,,,,,
Motilal Oswal Financial Services Ltd.,MOTILALOFS,519136116736,25016400000.0,24410600000.0,9316900000.0,13097800000.0,16620400000.0,10512900000.0,17529200000.0,19554900000.0,16820900000.0,11620600000.0,-648100000.0,5645200000.0,11200800000.0,8818900000.0,339871000000.0,370525300000.0,318292100000.0,111307700000.0,111107000000.0,87687400000.0,,,,,,,,,,,,,,,,,,,,,
MphasiS Ltd.,MPHASIS,542597742592,17021390000.0,15548200000.0,16379220000.0,14308890000.0,37324890000.0,37100410000.0,35613380000.0,35361460000.0,34224620000.0,4417030000.0,4464920000.0,4278070000.0,4233320000.0,4045080000.0,149066290000.0,135817580000.0,141302380000.0,96283960000.0,86692210000.0,87946000000.0,,,,,,,,,,,,,,,,,,,,,
Muthoot Finance Ltd.,MUTHOOTFIN,1524375879680,53329000000.0,43242880000.0,36122980000.0,40166210000.0,41301040000.0,34823180000.0,33221340000.0,31503670000.0,,20162000000.0,14776790000.0,13891820000.0,12716020000.0,,1328595910000.0,1127811640000.0,,299911780000.0,272727370000.0,,,,1487159150000.0,1199249350000.0,,309388300000.0,286222980000.0,,47613640000.0,24206340000.0,1607486650000.0,333947080000.0,,,,,,,,,
NHPC Ltd.,NHPC,787128909824,30066700000.0,35959500000.0,39033100000.0,35235700000.0,32137700000.0,23409600000.0,22867600000.0,30519300000.0,26942000000.0,10650200000.0,8536400000.0,2312300000.0,9000300000.0,10217700000.0,1026777100000.0,976813400000.0,922648800000.0,451630600000.0,509739000000.0,438585600000.0,,,,,,,,,,,,,,,,,,,,,
NMDC Ltd.,NMDC,726672539648,65419800000.0,55750600000.0,56014600000.0,94287100000.0,67388600000.0,69998500000.0,65678300000.0,49189100000.0,54141900000.0,19677400000.0,14776800000.0,18819600000.0,12115700000.0,19707700000.0,410068800000.0,399203600000.0,356610300000.0,297071800000.0,283777300000.0,256729100000.0,,,,,,,,,,,,,,,,,,,,,
NTPC Green Energy Ltd.,NTPCGREEN,783480127488,4754800000.0,3428500000.0,1712190000.0,,6802100000.0,5467500000.0,5050800000.0,4874020000.0,5784500000.0,2204800000.0,2332200000.0,656100000.0,380390000.0,1386100000.0,454214400000.0,324083010000.0,272064300000.0,185321800000.0,82810000000.0,62322100000.0,,,,,287754040000.0,,,63708220000.0,,,,,4239420000.0,6856090000.0,,,,,,,
NTPC Ltd.,NTPC,3142689751040,234224600000.0,208118900000.0,169125500000.0,166759000000.0,470653600000.0,479765600000.0,450528200000.0,447060500000.0,485288800000.0,60106000000.0,76112200000.0,50625100000.0,52745900000.0,54741400000.0,5241645900000.0,4922304000000.0,4801965700000.0,1911226800000.0,1729144100000.0,1651222800000.0,,,,,,,,,,,,,,,,,,,,,
National Aluminium Co. Ltd.,NATIONALUM,563781304320,52679400000.0,19884600000.0,14346600000.0,29514100000.0,38069400000.0,51423900000.0,46622200000.0,40014800000.0,,10494800000.0,20672300000.0,15663200000.0,10459700000.0,,228821600000.0,205250500000.0,192350300000.0,178054400000.0,156433000000.0,143880900000.0,,,,,,,,,42923400000.0,14299400000.0,250045900000.0,198363300000.0,,,,,,,,,
Nestle India Ltd.,NESTLEIND,2453972713472,32075900000.0,,,23905200000.0,50739600000.0,54476400000.0,47621300000.0,50747600000.0,47929700000.0,6465900000.0,8734900000.0,6880100000.0,8994900000.0,7466000000.0,121933200000.0,109965200000.0,,40102100000.0,39034700000.0,,21184100000.0,20824300000.0,,,,,,,,,,,,,,,,,,,
Oberoi Realty Ltd.,OBEROIRLTY,611398254592,22255137000.0,19266037000.0,19045471000.0,10470983000.0,9875500000.0,11044332000.0,14110800000.0,13198900000.0,14051600000.0,4212500000.0,4331737000.0,6183800000.0,5894400000.0,5845100000.0,227420630000.0,202522700000.0,196334113000.0,157048662000.0,147999800000.0,138444120000.0,,,,,,,,,,,,,,,,,,,,,
Oil & Natural Gas Corporation Ltd.,ONGC,2951068778496,362256230000.0,491439260000.0,367093340000.0,455221060000.0,1631081200000.0,1165003150000.0,1660966800000.0,1593310500000.0,,98040700000.0,73228330000.0,86216900000.0,102354600000.0,,7587231020000.0,7576138900000.0,7419979230000.0,3742351170000.0,3794755700000.0,3596242540000.0,,,,,,,,,1579110800000.0,107848800000.0,7814177600000.0,4018193400000.0,,,,,,,,,
Oil India Ltd.,OIL,655116271616,65509300000.0,63351000000.0,87285900000.0,56216300000.0,79286600000.0,88055200000.0,83369000000.0,72470300000.0,,18964200000.0,13101000000.0,13388500000.0,20162000000.0,,1044446700000.0,1018728600000.0,921528600000.0,547058000000.0,570659700000.0,526256900000.0,,,,,,,,,83941100000.0,14288300000.0,1169080200000.0,616323700000.0,,,,,,,,,
One 97 Communications Ltd.,PAYTM,842553622528,-6587000000.0,-14170000000.0,-17759000000.0,-23929000000.0,19175000000.0,17519000000.0,18278000000.0,16590000000.0,15016000000.0,1225000000.0,-5398000000.0,-2083000000.0,9280000000.0,-8389000000.0,214477000000.0,182047000000.0,186928000000.0,149971000000.0,145075000000.0,132984000000.0,,,,,,,,,,,,,,,,,,,,,
Oracle Financial Services Software Ltd.,OFSS,677528928256,23796000000.0,22194000000.0,18061410000.0,18888260000.0,18522000000.0,17163000000.0,17152000000.0,16739000000.0,17414000000.0,6419000000.0,6439000000.0,5413000000.0,5777000000.0,6167000000.0,101350000000.0,91205000000.0,99357000000.0,83624000000.0,70630000000.0,78588000000.0,,,,,,,,,,,,,,,,,,,,,
PB Fintech Ltd.,POLICYBZR,880971284480,3530100000.0,669800000.0,-4872200000.0,-8329130000.0,13479900000.0,15078700000.0,12916200000.0,11672300000.0,10104900000.0,845900000.0,1706200000.0,715400000.0,506700000.0,601800000.0,75294100000.0,71533800000.0,67285100000.0,64378200000.0,61128400000.0,58764700000.0,,,,,,,,,,,,,,,,,,,,,
PI Industries Ltd.,PIIND,490775150592,16602000000.0,16815000000.0,12295000000.0,8438000000.0,19005000000.0,17127000000.0,19008000000.0,22210000000.0,,4000000000.0,3305000000.0,3727000000.0,5082000000.0,,122767000000.0,119951000000.0,107640000000.0,101570000000.0,95454000000.0,87310000000.0,,,,,,,,,18723000000.0,4093000000.0,133009000000.0,108269000000.0,,,,,,,,,
Page Industries Ltd.,PAGEIND,406802563072,7291420000.0,5691930000.0,5712490000.0,5365310000.0,13165611000.0,10762167000.0,13130510000.0,12462704000.0,,2007963000.0,1640051000.0,2046550000.0,1952593000.0,,26430110000.0,27096513000.0,26825810000.0,14071960000.0,14900628000.0,15969280000.0,,,,,,,,,12908582000.0,1947601000.0,27859207000.0,14090750000.0,,,,,,,,,
Patanjali Foods Ltd.,PATANJALI,595349667840,13007064000.0,7651509000.0,8864411000.0,8063089000.0,88997053000.0,97077783000.0,91031311000.0,81015600000.0,71771679000.0,1803590000.0,3585190000.0,3708801000.0,3085824000.0,2627249000.0,155171788000.0,140285556000.0,132620725000.0,113708889000.0,108351718000.0,102053132000.0,,,,,,,,,,,,,,,,,,,,,
Persistent Systems Ltd.,PERSISTENT,980987740160,14001610000.0,10934910000.0,9210930000.0,6903860000.0,33335870000.0,32421120000.0,30622840000.0,28971510000.0,27371700000.0,4249360000.0,3957600000.0,3729900000.0,3249970000.0,3064150000.0,87366020000.0,82790230000.0,74176340000.0,63190650000.0,55643180000.0,49577070000.0,,,,,,,,,,,,,,,,,,,,,
Phoenix Mills Ltd.,PHOENIXLTD,661699887104,9842257000.0,10992088000.0,13349608000.0,2373546000.0,9529853000.0,9220950000.0,9751304000.0,9179665000.0,9041405000.0,2406864000.0,2688219000.0,2647627000.0,2180977000.0,2325434000.0,215312291000.0,202549705000.0,192354606000.0,138527131000.0,132520817000.0,123874416000.0,,,,,,,,,,,,,,,,,,,,,
Pidilite Industries Ltd.,PIDILITIND,1484437716992,20762400000.0,17293800000.0,12732500000.0,12075600000.0,37531000000.0,30946800000.0,33689100000.0,32349100000.0,33953500000.0,6724100000.0,4223400000.0,5524200000.0,5345600000.0,5669200000.0,140114700000.0,127554600000.0,121039500000.0,99577600000.0,89087400000.0,86170100000.0,,,,,,,,,,,,,,,,,,,,,
Polycab India Ltd.,POLYCAB,1137526177792,20199900000.0,17840450000.0,12707830000.0,9085820000.0,59059760000.0,66089040000.0,52260620000.0,54984230000.0,46980300000.0,5921210000.0,7266680000.0,4575570000.0,4398110000.0,3959540000.0,137727360000.0,137111390000.0,120788840000.0,99067940000.0,86612350000.0,82433410000.0,,,,,124395790000.0,,,86521880000.0,,,,,15463740000.0,-2175090000.0,,,,,,,
Power Finance Corporation Ltd.,PFC,1170501402624,229908100000.0,197611600000.0,158893300000.0,140147900000.0,102878500000.0,121312000000.0,102818700000.0,95430600000.0,,68662600000.0,63164500000.0,58287900000.0,53024300000.0,,11780865000000.0,11033613800000.0,10388773800000.0,1551552300000.0,1451582400000.0,1342885400000.0,,,,,,,,,108415200000.0,57432500000.0,12226288300000.0,1668206100000.0,,,,,,,,,-230832700000.0
Power Grid Corporation of India Ltd.,POWERGRID,2468845453312,155214400000.0,155731600000.0,154197400000.0,168240700000.0,111962200000.0,122753500000.0,112330300000.0,112777600000.0,110061800000.0,36305800000.0,41428700000.0,38616300000.0,37930200000.0,37239200000.0,2661071900000.0,2552969000000.0,2508905200000.0,926628100000.0,920610700000.0,871451100000.0,,,,,,,,,,,,,,,,,,,,,
Premier Energies Ltd.,PREMIERENE,394505715712,9371320000.0,2313600000.0,-128050000.0,-143600000.0,18207420000.0,16128300000.0,17133230000.0,15272200000.0,16573670000.0,3077930000.0,2778050000.0,2552210000.0,2059460000.0,1981600000.0,68414020000.0,52908150000.0,35541250000.0,28221060000.0,23118270000.0,6598850000.0,,,,,37355000000.0,,,8593800000.0,,,,,2225730000.0,6230560000.0,,,,,,,1296120000.0
Prestige Estates Projects Ltd.,PRESTIGE,693303377920,4675000000.0,13741000000.0,9418000000.0,11500000000.0,23073000000.0,13842000000.0,16545000000.0,23044000000.0,,2925000000.0,250000000.0,177000000.0,1922000000.0,,587952000000.0,545557000000.0,485187000000.0,159045000000.0,171811000000.0,118010000000.0,,,,,,,,,24317000000.0,4303000000.0,665813000000.0,162501000000.0,,,,,,,,,
Punjab National Bank,PNB,1384263974912,184802900000.0,91072000000.0,33484500000.0,38607400000.0,161705100000.0,156671000000.0,145487500000.0,153211200000.0,142235800000.0,21198800000.0,49892900000.0,48010000000.0,47141400000.0,39758600000.0,18575436300000.0,17226524500000.0,,1337663900000.0,1272577900000.0,,,,18737151800000.0,17963820300000.0,16395844900000.0,1387908700000.0,1317757700000.0,1170703300000.0,,,,,,,,,,,,,
REC Ltd.,RECLTD,940828721152,158842300000.0,141454600000.0,111669800000.0,100357000000.0,51969600000.0,64769100000.0,53560300000.0,51157800000.0,49757100000.0,44657100000.0,43099800000.0,40763500000.0,40377200000.0,34601900000.0,6145018300000.0,5952271700000.0,5481910900000.0,783760600000.0,735101100000.0,693502400000.0,,,,6127304100000.0,5742788700000.0,,771659800000.0,729361900000.0,,,,,-101489700000.0,-169501000000.0,,37263500000.0,-156913600000.0,,,,-65033200000.0
Rail Vikas Nigam Ltd.,RVNL,810670751744,12813900000.0,15506900000.0,13417500000.0,11101400000.0,39087700000.0,64268800000.0,45673800000.0,48549500000.0,,1345300000.0,4591400000.0,3114400000.0,2868800000.0,,204817000000.0,204097200000.0,195766700000.0,95710100000.0,87918100000.0,87220000000.0,,,,,,,,,51229800000.0,2302900000.0,197505600000.0,95583500000.0,,,,,,,,,
Reliance Industries Ltd.,RELIANCE,21100608094208,696480000000.0,696210000000.0,667020000000.0,607050000000.0,2436320000000.0,2613880000000.0,2399860000000.0,2315350000000.0,2317840000000.0,269940000000.0,194070000000.0,185400000000.0,165630000000.0,151380000000.0,19501210000000.0,18151230000000.0,17559860000000.0,10096260000000.0,9543240000000.0,9257880000000.0,,,,,,,,,,,,,,,,,,,,,
SBI Cards and Payment Services Ltd.,SBICARD,822733832192,19164100000.0,24078800000.0,22584700000.0,16161400000.0,40350800000.0,32842600000.0,37943300000.0,36203000000.0,35690200000.0,5559600000.0,5343100000.0,3832300000.0,4044200000.0,5944500000.0,655458000000.0,618722100000.0,581712300000.0,137817200000.0,130896300000.0,120840300000.0,,,,,,,,,,,,,,,,,,,,,
SBI Life Insurance Company Ltd.,SBILIFE,2024813625344,24133000000.0,18937800000.0,17205724000.0,15059977000.0,390129400000.0,215549100000.0,188603900000.0,403227500000.0,346743800000.0,5943700000.0,8135100000.0,5508200000.0,5294200000.0,5195200000.0,4570954300000.0,4484974500000.0,,169853500000.0,162591400000.0,,,,4850802200000.0,4511009500000.0,4226675200000.0,178383400000.0,165985100000.0,155715100000.0,,,,,,,,,,,,,
SRF Ltd.,SRF,919391305728,12507800000.0,13357100000.0,21623400000.0,18889200000.0,37385800000.0,42151700000.0,34066900000.0,33340600000.0,34022300000.0,4323200000.0,5260600000.0,2710800000.0,2014200000.0,2522200000.0,215571200000.0,210765600000.0,204819400000.0,126262000000.0,119973100000.0,114790200000.0,,,,,,,,,,,,,,,,,,,,,
Samvardhana Motherson International Ltd.,MOTHERSON,1259039490048,38030000000.0,27162000000.0,14956000000.0,8738500000.0,299428300000.0,291193300000.0,272316100000.0,276683500000.0,,5118400000.0,10504600000.0,8786300000.0,8797400000.0,,928473000000.0,978785700000.0,850217000000.0,371285000000.0,347402900000.0,282155000000.0,,,,,,,,,298760100000.0,8270000000.0,1008344500000.0,396047300000.0,,,,,,,,,
Shree Cement Ltd.,SHREECEM,954240335872,11227700000.0,23957000000.0,12707000000.0,23319400000.0,52808800000.0,52256400000.0,45726800000.0,40541700000.0,51239600000.0,6426600000.0,5743200000.0,1934000000.0,764400000.0,2786100000.0,284917600000.0,278585500000.0,279534700000.0,215785200000.0,209203400000.0,207440400000.0,,,,,,,,,,,,,,,,,,,,,
Shriram Finance Ltd.,SHRIRAMFIN,1806577958912,95538200000.0,73663800000.0,60110400000.0,27211000000.0,59993700000.0,54219600000.0,57999300000.0,55994800000.0,53668300000.0,21594000000.0,21437700000.0,32468500000.0,21404000000.0,20228000000.0,2937221600000.0,2750865700000.0,2482663100000.0,564698200000.0,531422400000.0,496766400000.0,,,,,,,,,,,,,,,,,,,,,
Siemens Energy India Ltd.,ENRIN,934851969024,11001000000.0,6000000000.0,,,17846000000.0,,,,14842000000.0,2627000000.0,,,,1458000000.0,,,,,,,,,,,,,,,26457000000.0,3596000000.0,95452000000.0,43813000000.0,,,,,,,,,
Siemens Ltd.,SIEMENS,1104364568576,21042000000.0,27166000000.0,19609000000.0,15429000000.0,43468000000.0,42590000000.0,35872000000.0,63736000000.0,,4229000000.0,5820000000.0,6143000000.0,8308000000.0,,219471000000.0,254083000000.0,231821000000.0,123357000000.0,153661000000.0,139251000000.0,,,,,,,,,51712000000.0,4849000000.0,199892000000.0,132381000000.0,,,,,,,,,
Solar Industries India Ltd.,SOLARINDS,1125424824320,12094400000.0,8359300000.0,7571900000.0,4412800000.0,21544500000.0,19863500000.0,19730800000.0,17158300000.0,,3387000000.0,3222300000.0,3148700000.0,2858800000.0,,82613200000.0,66775100000.0,57372000000.0,45366200000.0,38991000000.0,34272500000.0,,,,,,,,,20822200000.0,3449700000.0,90167200000.0,53309300000.0,,,,,,,,,
Sona BLW Precision Forgings Ltd.,SONACOMS,299950080000,6012130000.0,5172670000.0,3952970000.0,3615430000.0,8539070000.0,7314720000.0,8679070000.0,9221860000.0,8911770000.0,1247130000.0,1641230000.0,1511940000.0,1439450000.0,1419530000.0,65370790000.0,62902440000.0,38649130000.0,56447180000.0,53820690000.0,28001050000.0,,,,,,,,,,,,,,,,,,,,,
State Bank of India,SBIN,8919546068992,775613371000.0,670846661000.0,556481728000.0,353738798000.0,887253600000.0,884586956000.0,904568300000.0,901836200000.0,804242700000.0,212014700000.0,196004571000.0,188531600000.0,197827600000.0,193249600000.0,73141853408000.0,69633353600000.0,,5050625975000.0,4808118400000.0,,,,74442914300000.0,72455176500000.0,67747198000000.0,5396479400000.0,4984429000000.0,4558999000000.0,,,,,,,,,,,,,
Steel Authority of India Ltd.,SAIL,547445243904,23718200000.0,30666700000.0,21765300000.0,122434700000.0,259217600000.0,285773400000.0,244899100000.0,246752000000.0,239978100000.0,7445800000.0,12510000000.0,1418900000.0,8971500000.0,817800000.0,1363709400000.0,1397421300000.0,1407085800000.0,589056000000.0,575882000000.0,571012300000.0,,,,,,,,,,,,,,,,,,,,,
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,4125656350720,109290400000.0,95763800000.0,84735800000.0,32727300000.0,137860700000.0,128155800000.0,134369400000.0,132642200000.0,125245100000.0,22786300000.0,21498800000.0,29033800000.0,30401600000.0,28356200000.0,921005800000.0,881156600000.0,854996500000.0,724859500000.0,693796500000.0,671259400000.0,,,,,,,,,,,,,,,,,,,,,
Supreme Industries Ltd.,SUPREMEIND,416062341120,9608800000.0,10697200000.0,8653300000.0,9684500000.0,26092100000.0,29399200000.0,25098800000.0,22729500000.0,26363500000.0,2023000000.0,2939400000.0,1869700000.0,2066000000.0,2733700000.0,71678200000.0,67511500000.0,65557100000.0,56604400000.0,53059800000.0,51088300000.0,,,,,,,,,,,,,,,,,,,,,
Suzlon Energy Ltd.,SUZLON,729644728320,20716300000.0,6603500000.0,28490100000.0,-1995900000.0,31173300000.0,36855900000.0,29688100000.0,20929900000.0,20159800000.0,3243200000.0,11822200000.0,3869200000.0,2002000000.0,3022900000.0,129595900000.0,96486700000.0,71790200000.0,61057200000.0,46931300000.0,39203100000.0,,,144610000000.0,,80820000000.0,65420000000.0,,42530000000.0,,,,,,,,,,,,,
Swiggy Ltd.,SWIGGY,1014509797376,-31167990000.0,-23502430000.0,-41793050000.0,-36288960000.0,49610000000.0,42293880000.0,39930690000.0,36010000000.0,,-11970000000.0,-10811820000.0,-7990800000.0,-6260000000.0,,152053180000.0,104296280000.0,105294210000.0,102194870000.0,70813780000.0,77914610000.0,,,,,103412420000.0,,,74449920000.0,,,,,-1753730000.0,-5166270000.0,,,,,,,
TVS Motor Company Ltd.,TVSMOTOR,1725903405056,22355600000.0,16863700000.0,13286700000.0,7568200000.0,122100500000.0,40442700000.0,111346300000.0,111971900000.0,103144700000.0,6100400000.0,6481600000.0,5660300000.0,5604900000.0,4608800000.0,479369100000.0,449457300000.0,422204600000.0,94422700000.0,85920400000.0,75111100000.0,,,,,,,,,,,,,,,,,,,,,
Tata Communications Ltd.,TATACOMM,506615988224,18363600000.0,9683400000.0,17959600000.0,14817600000.0,59598500000.0,58704200000.0,57980700000.0,57278500000.0,55923200000.0,1899800000.0,10403400000.0,2359600000.0,2272300000.0,3328400000.0,265845800000.0,252171000000.0,245613400000.0,30242800000.0,17807400000.0,17902900000.0,,,,,,,,,,,,,,,,,,,,,
Tata Consultancy Services Ltd.,TCS,11867327037440,485530000000.0,459080000000.0,421470000000.0,383270000000.0,634370000000.0,644790000000.0,639730000000.0,642590000000.0,626130000000.0,127600000000.0,122240000000.0,123800000000.0,119090000000.0,120400000000.0,1596290000000.0,1611240000000.0,1464490000000.0,957710000000.0,1023830000000.0,913190000000.0,,,1664600000000.0,,1518710000000.0,989310000000.0,,951370000000.0,,,,,115820000000.0,104170000000.0,119190000000.0,,,,,,
Tata Consumer Products Ltd.,TATACONSUM,1163409227776,12784700000.0,11503300000.0,12037700000.0,9357800000.0,47789100000.0,44983300000.0,44435600000.0,42144500000.0,43520700000.0,3341500000.0,3448500000.0,2788800000.0,3644200000.0,2903200000.0,319776800000.0,309698100000.0,280209400000.0,213903000000.0,205164400000.0,174361300000.0,,,,,,,,,,,,,,,,,,,,,
Tata Elxsi Ltd.,TATAELXSI,333325500416,7849368000.0,7922379000.0,7551932000.0,5496715000.0,8920959000.0,9083356000.0,9391712000.0,9550863000.0,9264552000.0,1443677000.0,1724185000.0,1990064000.0,2294320000.0,1840799000.0,35857176000.0,31851372000.0,31869816000.0,28599689000.0,24865691000.0,25056563000.0,,,,,,,,,,,,,,,,,,,,,
Tata Motors Passenger Vehicles Ltd.,TMPV,2641442111488,278300000000.0,313990000000.0,24142900000.0,-114414700000.0,1037920000000.0,1161370000000.0,1128330000000.0,828410000000.0,,39240000000.0,134680000000.0,54510000000.0,34460000000.0,,3786420000000.0,3906560000000.0,3706640000000.0,1227540000000.0,1092480000000.0,930940000000.0,,,,,,,,,717140000000.0,761700000000.0,3442640000000.0,1173470000000.0,,,,,,,,,
Tata Power Co. Ltd.,TATAPOWER,1213103210496,39710000000.0,36962500000.0,33364400000.0,17414600000.0,180350700000.0,157453900000.0,153910600000.0,156976700000.0,,10598600000.0,10428300000.0,10307000000.0,9265300000.0,,1567102200000.0,1451292600000.0,1395524200000.0,426060400000.0,399128700000.0,383327700000.0,,,,,,,,,155449100000.0,9194400000.0,1638007500000.0,447435400000.0,,,,,,,,,
Tata Steel Ltd.,TATASTEEL,2109238804480,34205100000.0,-44374400000.0,87604000000.0,401539300000.0,527440700000.0,557069900000.0,532312800000.0,534897300000.0,,20776800000.0,13008100000.0,3266400000.0,8334500000.0,,2793948000000.0,2808406900000.0,2734235000000.0,913527800000.0,905090400000.0,924327400000.0,,,,,,,,,582160400000.0,31017500000.0,2855653200000.0,959319100000.0,,,,,,,,,
Tata Technologies Ltd.,TATATECH,265579479040,6769500000.0,6793700000.0,6240300000.0,4369910000.0,12442900000.0,12815800000.0,13173800000.0,12964500000.0,12689700000.0,1702800000.0,1888700000.0,1686400000.0,1574100000.0,1620300000.0,66642300000.0,58669300000.0,55783200000.0,35794200000.0,32150900000.0,32208200000.0,,,,,,,,,,,,,,,,,,,,,
Tech Mahindra Ltd.,TECHM,1428123811840,42515000000.0,23578000000.0,48313000000.0,55661000000.0,133512000000.0,133840000000.0,132856000000.0,133132000000.0,130055000000.0,11406000000.0,11667000000.0,9832000000.0,12501000000.0,8515000000.0,444945000000.0,428267000000.0,434236000000.0,277917000000.0,268979000000.0,271468000000.0,,,,,,,,,,,,,,,,,,,,,
Titan Company Ltd.,TITAN,3541084667904,33370000000.0,34960000000.0,32500000000.0,21730000000.0,148140000000.0,170520000000.0,175500000000.0,134730000000.0,122230000000.0,10910000000.0,8710000000.0,10470000000.0,7040000000.0,7150000000.0,406470000000.0,388260000000.0,315500000000.0,116240000000.0,97360000000.0,93930000000.0,,,,,,,,,,,,,,,,,,,,,
Torrent Pharmaceuticals Ltd.,TORNTPHARM,1291710889984,19112500000.0,16563800000.0,12452300000.0,7771800000.0,31280000000.0,29092500000.0,27620000000.0,28310000000.0,,5480000000.0,4982500000.0,5030000000.0,4530000000.0,,149897400000.0,150880000000.0,150605800000.0,75906900000.0,75040000000.0,68561500000.0,,,,,,,,,32460000000.0,5910000000.0,155150000000.0,84490000000.0,,,,,,,,,
Torrent Power Ltd.,TORNTPOWER,654671478784,29885000000.0,18332300000.0,21174300000.0,4539800000.0,79063700000.0,61320700000.0,64993800000.0,71758100000.0,,7314400000.0,10595700000.0,4756600000.0,4810300000.0,,365733800000.0,355735300000.0,333924800000.0,182157800000.0,138856400000.0,125975000000.0,,,,,,,,,78760000000.0,7237100000.0,403092900000.0,194193600000.0,,,,,,,,,
Trent Ltd.,TRENT,1523728646144,15467200000.0,14868000000.0,4446300000.0,1058300000.0,48834800000.0,39560500000.0,46565600000.0,41566700000.0,,4296900000.0,3181500000.0,4972500000.0,3387400000.0,,94196400000.0,82740500000.0,71617500000.0,55833600000.0,47195400000.0,41025900000.0,,,,,,,,,48176800000.0,3768600000.0,107354200000.0,62147300000.0,,,,,,,,,
Tube Investments of India Ltd.,TIINDIA,503279943680,6737100000.0,12059200000.0,9555200000.0,7688300000.0,51707100000.0,50172900000.0,46816500000.0,47825100000.0,44336900000.0,1988700000.0,465300000.0,1935900000.0,2067900000.0,2268000000.0,159644800000.0,149777500000.0,131794000000.0,76923000000.0,73065600000.0,67447100000.0,,,,,,,,,,,,,,,,,,,,,
UPL Ltd.,UPL,653633847296,8970000000.0,-12000000000.0,35700000000.0,36260000000.0,92160000000.0,151980000000.0,109070000000.0,110900000000.0,90670000000.0,-880000000.0,8960000000.0,8280000000.0,-4430000000.0,-3840000000.0,880020000000.0,851250000000.0,875460000000.0,378260000000.0,316160000000.0,327060000000.0,,,,,,,,,,,,,,,,,,,,,
