Company Name,Symbol,Market Cap,Earnings_2025,Earnings_2024,Earnings_2023,Earnings_2022,Q_Revenue_2025-06-30,Q_Revenue_2025-03-31,Q_Revenue_2024-12-31,Q_Revenue_2024-09-30,Q_Revenue_2024-06-30,Q_Net_Income_2025-06-30,Q_Net_Income_2025-03-31,Q_Net_Income_2024-12-31,Q_Net_Income_2024-09-30,Q_Net_Income_2024-06-30,Q_Total_Assets_2025-03-31,Q_Total_Assets_2024-09-30,Q_Total_Assets_2024-03-31,Q_Total_Equity_2025-03-31,Q_Total_Equity_2024-09-30,Q_Total_Equity_2024-03-31,Earnings_2021,Earnings_2020,Q_Total_Assets_2025-06-30,Q_Total_Assets_2024-12-31,Q_Total_Assets_2024-06-30,Q_Total_Equity_2025-06-30,Q_Total_Equity_2024-12-31,Q_Total_Equity_2024-06-30,Q_Revenue_2025-09-30,Q_Net_Income_2025-09-30,Q_Total_Assets_2025-09-30,Q_Total_Equity_2025-09-30,Q_Op_Cashflow_2024-09-30,Q_Op_Cashflow_2024-06-30,Q_Op_Cashflow_2025-06-30,Q_Op_Cashflow_2025-03-31,Q_Op_Cashflow_2024-12-31,Q_Op_Cashflow_2025-09-30,Q_Revenue_2024-03-31,Q_Net_Income_2024-03-31,Q_Op_Cashflow_2024-03-31
Bajaj Auto Ltd.,BAJAJ-AUTO,2531010543616,73247300000.0,77082400000.0,60602100000.0,61658700000.0,126465900000.0,122044900000.0,126889600000.0,128155300000.0,,22104400000.0,18018500000.0,21956500000.0,13854400000.0,,541986100000.0,458420300000.0,393656800000.0,351887500000.0,309789600000.0,289624200000.0,,,,,,,,,152536400000.0,21220300000.0,654562500000.0,341698200000.0,,,,,,,,,
Bajaj Finance Ltd.,BAJFINANCE,6215134871552,166378200000.0,144511700000.0,115076900000.0,70282300000.0,118425700000.0,111879100000.0,109873600000.0,103168500000.0,,46996100000.0,44795700000.0,42465400000.0,39997300000.0,,4661268300000.0,4206557600000.0,3757416200000.0,989368900000.0,889162300000.0,766953500000.0,,,,,,,,,123337600000.0,48753600000.0,5099607600000.0,1055983700000.0,,,,,,,,,
Bajaj Finserv Ltd.,BAJAJFINSV,3221390098432,88723100000.0,81477900000.0,64172800000.0,45567700000.0,302309100000.0,383139000000.0,268465400000.0,291150400000.0,,27890500000.0,24166400000.0,22310000000.0,20869700000.0,,6522316100000.0,6011950200000.0,5379296300000.0,1284342300000.0,1191318700000.0,1037758300000.0,,,,,,,,,315642800000.0,22441000000.0,7075149600000.0,1357412100000.0,,,,,,,,,
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,1243552022528,65206700000.0,72672100000.0,48505200000.0,40556800000.0,37525900000.0,17536900000.0,18201200000.0,16138700000.0,,34865100000.0,17254900000.0,17483600000.0,14363600000.0,,752655900000.0,725327000000.0,651610800000.0,726690600000.0,687881000000.0,629710300000.0,,,,,,,,,20270700000.0,15590200000.0,825138400000.0,786724200000.0,,,,,,,,,
Bajaj Housing Finance Ltd.,BAJAJHFL,792300552192,21629000000.0,17312200000.0,12578000000.0,7096200000.0,25688500000.0,22871500000.0,23939300000.0,23524000000.0,21459900000.0,5833000000.0,5866800000.0,5480200000.0,5456000000.0,4826100000.0,1028087500000.0,937991700000.0,818270900000.0,199468000000.0,187853900000.0,122335000000.0,,,,,885388300000.0,,,147199100000.0,,,,,-34221000000.0,-53869500000.0,,,,,,,
Bank of Baroda,BANKBARODA,1490732580864,207163280000.0,187673789000.0,149052030000.0,78496924000.0,180976200000.0,146823693000.0,175892700000.0,201889700000.0,172184600000.0,34691600000.0,54196980000.0,52137200000.0,53551000000.0,47278100000.0,18617740775000.0,17247423300000.0,,1477502764000.0,1363266400000.0,,,,18396712900000.0,17912808500000.0,16497388400000.0,1549928900000.0,1409980800000.0,1293924600000.0,,,,,,,,,,,,,
Bank of India,BANKINDIA,636326379520,95482797000.0,65644637000.0,38379536000.0,34925765000.0,83567900000.0,96800106000.0,79318900000.0,85947400000.0,76906900000.0,18295600000.0,26019697000.0,26367000000.0,24212900000.0,18882800000.0,10564250062000.0,10001261300000.0,,808873235000.0,740048800000.0,,,,10803619600000.0,10454029200000.0,9612056500000.0,810886200000.0,764582800000.0,709523300000.0,,,,,,,,,,,,,
Bharat Dynamics Ltd.,BDL,541742727168,5496452000.0,6127206000.0,3521749000.0,4999244000.0,2310926000.0,18005457000.0,7992891000.0,5354608000.0,,183498000.0,2727719000.0,1471254000.0,1225316000.0,,117424843000.0,105296154000.0,103400507000.0,40089508000.0,37320865000.0,36368233000.0,,,,,,,,,11470810000.0,2158837000.0,130678379000.0,42171972000.0,,,,,,,,,
Bharat Electronics Ltd.,BEL,2912581582848,53214400000.0,39845200000.0,29844200000.0,23988700000.0,44397400000.0,84981400000.0,57706900000.0,46049000000.0,42435700000.0,9699100000.0,21270400000.0,13109500000.0,10924500000.0,7910000000.0,408318600000.0,398060300000.0,395266800000.0,199928300000.0,176786700000.0,163443900000.0,,,,,,,,,,,,,,,,,,,,,
Bharat Forge Ltd.,BHARATFORG,691516932096,9411530000.0,9511280000.0,5283640000.0,10817560000.0,39087490000.0,32597060000.0,34755450000.0,36885080000.0,,2836830000.0,2819970000.0,2127630000.0,2435860000.0,,200883210000.0,189926970000.0,193491180000.0,92205810000.0,72432680000.0,71653090000.0,,,,,,,,,40319270000.0,2991990000.0,207276720000.0,93277980000.0,,,,,,,,,
Bharat Heavy Electricals Ltd.,BHEL,980200849408,5339000000.0,2822200000.0,6374400000.0,4460300000.0,54869100000.0,80090600000.0,72770900000.0,65841000000.0,54849200000.0,-4555000000.0,5044500000.0,1347000000.0,1061500000.0,-2114000000.0,680831800000.0,617925100000.0,590019200000.0,247221800000.0,241989700000.0,244386500000.0,,,,,,,,,,,,,,,,,,,,,
Bharat Petroleum Corporation Ltd.,BPCL,1587893108736,133365500000.0,268588400000.0,21310500000.0,116815000000.0,1125514500000.0,1096961200000.0,1131658700000.0,1027852700000.0,1130949200000.0,68390200000.0,43918300000.0,38059400000.0,22972300000.0,28415500000.0,2183822200000.0,2112258900000.0,2024177500000.0,813840800000.0,771080200000.0,756351100000.0,,,,,,,,,,,,,,,,,,,,,
Bharti Airtel Ltd.,BHARTIARTL,12824158928896,335561000000.0,74670000000.0,83459000000.0,42549000000.0,494626000000.0,478762000000.0,451293000000.0,414733000000.0,385064000000.0,59479000000.0,110218000000.0,147812000000.0,35932000000.0,41599000000.0,5143604000000.0,4609821000000.0,,1534677000000.0,1103030000000.0,,,,5150367000000.0,5008636000000.0,4450907000000.0,1607482000000.0,1514323000000.0,1120335000000.0,,,,,249307000000.0,218034000000.0,306898000000.0,258703000000.0,257278000000.0,,,,
Bharti Hexacom Ltd.,BHARTIHEXA,913999986688,14936000000.0,5044000000.0,5492000000.0,16746000000.0,22630000000.0,22890000000.0,22507000000.0,20976000000.0,19106000000.0,3916000000.0,4684000000.0,2609000000.0,2531000000.0,5112000000.0,192510000000.0,193318000000.0,185174000000.0,59321000000.0,52027000000.0,44387000000.0,,,188191000000.0,,182033000000.0,63234000000.0,,51495000000.0,,,,,10395000000.0,13085000000.0,13437000000.0,11508000000.0,10838000000.0,,,,
Biocon Ltd.,BIOCON,527955820544,10133000000.0,10225000000.0,4627000000.0,6484000000.0,39101000000.0,43581000000.0,37730000000.0,35450000000.0,,314000000.0,3445000000.0,251000000.0,-160000000.0,,587973000000.0,571279000000.0,560707000000.0,277125000000.0,267200000000.0,252748000000.0,,,,,,,,,42625000000.0,845000000.0,627598000000.0,330552000000.0,,,,,,,,,
Blue Star Ltd.,BLUESTARCO,362639851520,5912400000.0,4149500000.0,4004600000.0,1677100000.0,29822500000.0,39040000000.0,28073600000.0,22759600000.0,28653700000.0,1209600000.0,1936400000.0,1325700000.0,961900000.0,1688400000.0,82575000000.0,64707000000.0,66182500000.0,30676200000.0,27355400000.0,26126400000.0,,,,,,,,,,,,,,,,,,,,,
Bosch Ltd.,BOSCHLTD,1058481438720,20152000000.0,24913000000.0,14255000000.0,12183000000.0,47886000000.0,45052000000.0,44657000000.0,43943000000.0,,11161000000.0,5535000000.0,4587000000.0,5367000000.0,,202411000000.0,185167000000.0,173485000000.0,138133000000.0,127330000000.0,120569000000.0,,,,,,,,,47948000000.0,5545000000.0,203233000000.0,140170000000.0,,,,,,,,,
Britannia Industries Ltd.,BRITANNIA,1453438271488,21787300000.0,21398100000.0,23217700000.0,15248200000.0,45348600000.0,43755700000.0,44633000000.0,45662300000.0,41299200000.0,5207200000.0,5599500000.0,5816900000.0,5314500000.0,5056400000.0,88385500000.0,94667300000.0,90735600000.0,43813200000.0,32364600000.0,39660200000.0,,,,,,,,,,,,,,,,,,,,,
CG Power and Industrial Solutions Ltd.,CGPOWER,1033109831680,9746000000.0,14270100000.0,9626700000.0,9125400000.0,28780500000.0,26588300000.0,25156800000.0,24126900000.0,22275200000.0,2692300000.0,2719700000.0,2405300000.0,2209600000.0,2411400000.0,74170700000.0,66563800000.0,56257400000.0,40376300000.0,36924600000.0,30187700000.0,,,,,,,,,,,,,,,,,,,,,
Canara Bank,CANBK,1361232658432,175396241000.0,152785644000.0,112547457000.0,61248216000.0,194493500000.0,197926175000.0,162665000000.0,175788600000.0,174316200000.0,31949500000.0,50701941000.0,42141600000.0,41877600000.0,40675100000.0,17306913490000.0,16215713900000.0,,1066065554000.0,1036030900000.0,,,,17777920600000.0,16388321500000.0,15764792700000.0,1097498100000.0,1048739600000.0,990399800000.0,,,,,,,,,,,,,
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,1433031278592,42627200000.0,34200600000.0,26648500000.0,21535100000.0,38850300000.0,35252800000.0,35618300000.0,32637700000.0,30603900000.0,11378300000.0,12595600000.0,10882100000.0,9678000000.0,9471500000.0,2018867600000.0,1819449200000.0,1566864100000.0,236686900000.0,214109000000.0,195932400000.0,,,,,,,,,,,,,,,,,,,,,
Cipla Ltd.,CIPLA,1216545030144,52725200000.0,41215500000.0,28019100000.0,25167500000.0,68370400000.0,65977200000.0,69616000000.0,69612200000.0,66248600000.0,12976200000.0,12218400000.0,15705100000.0,13025300000.0,11776400000.0,373870400000.0,346552800000.0,327178200000.0,312892500000.0,284557800000.0,268023300000.0,,,,,,,,,,,,,,,,,,,,,
Coal India Ltd.,COALINDIA,2478341095424,353581600000.0,374022900000.0,317632300000.0,173581000000.0,318804300000.0,314684600000.0,323589800000.0,272713000000.0,331701300000.0,87433800000.0,96040200000.0,85055700000.0,62891000000.0,109594700000.0,2601983700000.0,2493585300000.0,2376722600000.0,999506900000.0,970558600000.0,835819000000.0,,,,,,,,,,,,,,,,,,,,,
Cochin Shipyard Ltd.,COCHINSHIP,434635767808,8273305000.0,7832778000.0,3047091000.0,5639614000.0,10685948000.0,15771126000.0,11476355000.0,11431977000.0,,1878288000.0,2871835000.0,1769900000.0,1889213000.0,,133992273000.0,123949743000.0,120422253000.0,55792603000.0,52755817000.0,50033367000.0,,,,,,,,,11185871000.0,1075274000.0,142525927000.0,56972908000.0,,,,,,,,,
Coforge Ltd.,COFORGE,560625418240,8121000000.0,8080000000.0,6938000000.0,6617000000.0,36886000000.0,32694000000.0,33182000000.0,30256000000.0,23571000000.0,3174000000.0,2612000000.0,2155000000.0,2021000000.0,1332000000.0,124907000000.0,121266000000.0,61077000000.0,83290000000.0,79842000000.0,37269000000.0,,,,,,,,,,,,,,,,,,,,,
Colgate Palmolive (India) Ltd.,COLPAL,568049336320,14368100000.0,13236600000.0,10471465000.0,10783187000.0,14206400000.0,14520200000.0,14522100000.0,16092100000.0,14857600000.0,3206200000.0,3550000000.0,3227800000.0,3950500000.0,3639800000.0,30185500000.0,32481900000.0,31965300000.0,16644700000.0,16527800000.0,18743600000.0,,,,,,,,,,,,,,,,,,,,,
Container Corporation of India Ltd.,CONCOR,396383748096,12887500000.0,12469500000.0,11739500000.0,10563700000.0,21536300000.0,16127400000.0,22083100000.0,22877500000.0,,2665400000.0,2985300000.0,3666500000.0,3654000000.0,,144758700000.0,144247500000.0,140413500000.0,124865800000.0,122812300000.0,119298300000.0,,,,,,,,,23545300000.0,3787000000.0,149600100000.0,128960300000.0,,,,,,,,,
Coromandel International Ltd.,COROMANDEL,695516463104,20664600000.0,16421900000.0,20129300000.0,15284600000.0,70423000000.0,-31602100000.0,69351900000.0,74328300000.0,47288300000.0,5050100000.0,5796700000.0,5117700000.0,6640500000.0,3109700000.0,189276200000.0,169734200000.0,158515000000.0,112227600000.0,102346500000.0,94468300000.0,,,,,,,,,,,,,,,,,,,,,
Cummins India Ltd.,CUMMINSIND,1204898889728,19999400000.0,17205800000.0,12281500000.0,9337400000.0,28587100000.0,24281300000.0,30521500000.0,24650900000.0,22738700000.0,6039000000.0,5295000000.0,5584600000.0,4493700000.0,4626100000.0,101684900000.0,93968700000.0,89705100000.0,75614000000.0,69669900000.0,66123200000.0,,,,,,,,,,,,,,,,,,,,,
DLF Ltd.,DLF,1720824233984,43676215000.0,27271051000.0,20358252000.0,15008546000.0,27167000000.0,30805205000.0,15287100000.0,19750200000.0,13623500000.0,7626700000.0,12822015000.0,10587300000.0,13810800000.0,6456100000.0,694753744000.0,625788100000.0,602623970000.0,425502201000.0,402273200000.0,394316165000.0,,,,,,,,,,,,,,,,,,,,,
Dabur India Ltd.,DABUR,865915502592,17676300000.0,18426800000.0,17071500000.0,17392200000.0,34045800000.0,26670600000.0,33552500000.0,30285900000.0,33491100000.0,5139100000.0,3201300000.0,5223800000.0,4250000000.0,5001200000.0,162322800000.0,163731300000.0,151226800000.0,112102600000.0,107859200000.0,103030800000.0,,,,,,,,,,,,,,,,,,,,,
